fic,date,portret,portretx,n,country,currency
SGP,1986-12-11,-0.004728513,-0.004728513,18,SINGAPORE,SGD
SGP,1986-12-12,-0.001188214,-0.001188214,18,SINGAPORE,SGD
SGP,1986-12-15,-0.003677319,-0.003677319,18,SINGAPORE,SGD
SGP,1986-12-16,-0.006168406,-0.006168406,18,SINGAPORE,SGD
SGP,1986-12-17,0.0105138948,0.0105138948,18,SINGAPORE,SGD
SGP,1986-12-18,0.0094887514,0.0094887514,18,SINGAPORE,SGD
SGP,1986-12-19,0.0037939797,0.0037939797,18,SINGAPORE,SGD
SGP,1986-12-22,-0.010632133,-0.010632133,18,SINGAPORE,SGD
SGP,1986-12-26,-0.003749253,-0.003749253,18,SINGAPORE,SGD
SGP,1986-12-29,-0.006378509,-0.006378509,18,SINGAPORE,SGD
SGP,1986-12-30,-0.004019117,-0.004019117,18,SINGAPORE,SGD
SGP,1986-12-31,0.005085968,0.005085968,18,SINGAPORE,SGD
SGP,1987-01-02,-0.007839508,-0.007839508,18,SINGAPORE,SGD
SGP,1987-01-05,0.0044175828,0.0044175828,18,SINGAPORE,SGD
SGP,1987-01-06,0.0089642476,0.0089642476,18,SINGAPORE,SGD
SGP,1987-01-07,0.0024249657,0.0024249657,18,SINGAPORE,SGD
SGP,1987-01-09,0.0231226384,0.0231226384,18,SINGAPORE,SGD
SGP,1987-01-15,-0.005516651,-0.005516651,18,SINGAPORE,SGD
SGP,1987-01-19,0.0024207477,0.0024207477,18,SINGAPORE,SGD
SGP,1987-01-20,-0.014943037,-0.014943037,18,SINGAPORE,SGD
SGP,1987-01-21,0.008993232,0.008993232,18,SINGAPORE,SGD
SGP,1987-01-22,-0.005784577,-0.005784577,18,SINGAPORE,SGD
SGP,1987-01-23,-0.00723297,-0.00723297,18,SINGAPORE,SGD
SGP,1987-01-26,-0.004967408,-0.004967408,18,SINGAPORE,SGD
SGP,1987-01-27,-0.007704637,-0.009229661,18,SINGAPORE,SGD
SGP,1987-02-02,0.014581961,0.014581961,18,SINGAPORE,SGD
SGP,1987-02-03,0.0021004193,0.0021004193,18,SINGAPORE,SGD
SGP,1987-02-04,0.0022715539,0.0022715539,18,SINGAPORE,SGD
SGP,1987-02-05,-0.000159498,-0.000159498,18,SINGAPORE,SGD
SGP,1987-02-06,-0.007312036,-0.007312036,18,SINGAPORE,SGD
SGP,1987-02-09,0.0036559181,0.003293751,18,SINGAPORE,SGD
SGP,1987-02-10,0.0122059623,0.0122059623,18,SINGAPORE,SGD
SGP,1987-02-11,0.0134913159,0.0134913159,18,SINGAPORE,SGD
SGP,1987-02-12,0.0177329193,0.0177329193,18,SINGAPORE,SGD
SGP,1987-02-13,-0.003137682,-0.003137682,18,SINGAPORE,SGD
SGP,1987-02-16,0.0030261364,0.0030261364,18,SINGAPORE,SGD
SGP,1987-02-18,0.0179036841,0.0179036841,18,SINGAPORE,SGD
SGP,1987-02-19,0.0215302881,0.0215302881,18,SINGAPORE,SGD
SGP,1987-02-20,0.0245322128,0.0245322128,18,SINGAPORE,SGD
SGP,1987-02-23,0.0014303842,0.0014303842,18,SINGAPORE,SGD
SGP,1987-02-24,-0.015501824,-0.015501824,18,SINGAPORE,SGD
SGP,1987-02-25,0.0025093855,0.0025093855,18,SINGAPORE,SGD
SGP,1987-02-26,0.0033623343,0.0033623343,18,SINGAPORE,SGD
SGP,1987-02-27,-0.00227157,-0.00227157,18,SINGAPORE,SGD
SGP,1987-03-02,-0.00688885,-0.00688885,18,SINGAPORE,SGD
SGP,1987-03-03,-0.010135294,-0.010135294,18,SINGAPORE,SGD
SGP,1987-03-04,0.0069420783,0.0069420783,18,SINGAPORE,SGD
SGP,1987-03-05,0.007556651,0.007556651,18,SINGAPORE,SGD
SGP,1987-03-06,0.0017817496,0.0017817496,18,SINGAPORE,SGD
SGP,1987-03-09,-0.003342202,-0.003342202,18,SINGAPORE,SGD
SGP,1987-03-10,0.0031089066,0.0031089066,18,SINGAPORE,SGD
SGP,1987-03-11,0.0033434716,0.0033434716,18,SINGAPORE,SGD
SGP,1987-03-12,-0.011954009,-0.011954009,18,SINGAPORE,SGD
SGP,1987-03-13,-0.017317565,-0.017317565,18,SINGAPORE,SGD
SGP,1987-03-16,-0.003800733,-0.003800733,18,SINGAPORE,SGD
SGP,1987-03-17,-0.024413922,-0.024413922,18,SINGAPORE,SGD
SGP,1987-03-18,0.0140307375,0.0140307375,18,SINGAPORE,SGD
SGP,1987-03-19,0.0046343086,0.0046343086,18,SINGAPORE,SGD
SGP,1987-03-20,0.0191375942,0.0191375942,18,SINGAPORE,SGD
SGP,1987-03-23,0.0113182185,0.0113182185,18,SINGAPORE,SGD
SGP,1987-03-24,-0.003216679,-0.003216679,18,SINGAPORE,SGD
SGP,1987-03-25,0.0138127855,0.0138127855,18,SINGAPORE,SGD
SGP,1987-03-26,0.0036975116,0.0036975116,18,SINGAPORE,SGD
SGP,1987-03-27,-0.009164728,-0.009164728,18,SINGAPORE,SGD
SGP,1987-03-30,-0.011853291,-0.011853291,18,SINGAPORE,SGD
SGP,1987-03-31,-0.015994537,-0.015994537,18,SINGAPORE,SGD
SGP,1987-04-01,-0.009497238,-0.009497238,18,SINGAPORE,SGD
SGP,1987-04-02,0.0171751653,0.0171751653,18,SINGAPORE,SGD
SGP,1987-04-03,0.0070744935,0.0070744935,18,SINGAPORE,SGD
SGP,1987-04-06,0.0045723373,0.0045723373,18,SINGAPORE,SGD
SGP,1987-04-07,-0.004766473,-0.004766473,18,SINGAPORE,SGD
SGP,1987-04-08,0.0048051487,0.0048051487,18,SINGAPORE,SGD
SGP,1987-04-09,0.0062886758,0.0062886758,18,SINGAPORE,SGD
SGP,1987-04-10,-0.000782026,-0.000782026,18,SINGAPORE,SGD
SGP,1987-04-13,0.0020187145,0.0020187145,18,SINGAPORE,SGD
SGP,1987-04-14,-0.009534087,-0.009534087,18,SINGAPORE,SGD
SGP,1987-04-15,-0.008184702,-0.008184702,18,SINGAPORE,SGD
SGP,1987-04-20,0.0142140697,0.0142140697,18,SINGAPORE,SGD
