gamma,regime_source,strategy,max_weight,effective_n_assets,theta_used,robust_penalty_component,predicted_state_prob,regime_weight_max
0.06,altdata_bnmeanrank_kmeans,RS-CVaR,0.6060161562459128,2.1655211433597823,0.0,0.0,0.23217746014922241,0.24149574342642577
0.06,altdata_bnmeanrank_kmeans,RSDR-CVaR,0.10060026114493292,9.947053179649059,0.04421718990963854,0.0889748599296304,0.23217746014922241,0.24149574342642577
0.06,altdata_bnmeanrank_kmeans,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.23217746014922241,0.24149574342642577
0.06,altdataonly_gmm,DR-CVaR,0.10160965529471581,9.883846490555872,0.037173471975248146,0.07554367347025429,0.7799087335615421,0.29287092877687493
0.06,altdataonly_gmm,RS-CVaR,0.565572685131354,2.3405263726117562,0.0,0.0,0.7799087335615421,0.29287092877687493
0.06,altdataonly_gmm,RSDR-CVaR,0.10008585785275131,9.993349475945346,0.04436157995212087,0.08879941903780621,0.7799087335615421,0.29287092877687493
0.06,altdataonly_gmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.7799087335615421,0.29287092877687493
0.06,altdataonly_hmm,DR-CVaR,0.10160965529471581,9.883846490555872,0.037173471975248146,0.07554367347025429,0.9911690221893854,0.9205053533677138
0.06,altdataonly_hmm,RS-CVaR,0.5888914356328925,2.2257463611737545,0.0,0.0,0.9911690221893854,0.9205053533677138
0.06,altdataonly_hmm,RSDR-CVaR,0.10133744855967207,9.879629629629635,0.03968660255155795,0.08059950860344116,0.9911690221893854,0.9205053533677138
0.06,altdataonly_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9911690221893854,0.9205053533677138
0.08,altdata_bnmeanrank_hmm,DR-CVaR,0.10000000000000055,10.000000000000007,0.049564629300330856,0.09912925860066155,0.9788405518912244,0.9451729689730366
0.08,altdata_bnmeanrank_hmm,RS-CVaR,0.5734060915998515,2.230138161010334,0.0,0.0,0.9788405518912244,0.9451729689730366
0.08,altdata_bnmeanrank_hmm,RSDR-CVaR,0.10204291593180646,9.824074074074066,0.05105327295120396,0.10426786502195559,0.9788405518912244,0.9451729689730366
0.08,altdata_bnmeanrank_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9788405518912244,0.9451729689730366
0.08,altdata_bnmeanrank_kmeans,DR-CVaR,0.10000000000000055,10.000000000000007,0.049564629300330856,0.09912925860066155,0.23217746014922241,0.24149574342642577
0.08,altdata_bnmeanrank_kmeans,RS-CVaR,0.6060161562459128,2.1655211433597823,0.0,0.0,0.23217746014922241,0.24149574342642577
0.08,altdata_bnmeanrank_kmeans,RSDR-CVaR,0.10041152263374593,9.96296296296296,0.058956253212851396,0.11840879503350349,0.23217746014922241,0.24149574342642577
0.08,altdata_bnmeanrank_kmeans,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.23217746014922241,0.24149574342642577
0.08,altdataonly_gmm,DR-CVaR,0.10000000000000055,10.000000000000007,0.049564629300330856,0.09912925860066155,0.7799087335615421,0.29287092877687493
