gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message
0.1,altdata_bnmeanrank_hmm,2020-06-01,DR-CVaR,True,0.21195180658416035,0.06338360000000003,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9992909002275309,0.9968117701634408,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-06-01,RS-CVaR,True,0.0395209028706811,0.039391,0.0,1.0,0.0,1.0,1.0,2,0.9992909002275309,0.9968117701634408,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-06-01,RSDR-CVaR,True,0.32043088974800266,0.121802,0.08938300038660128,0.1111111111111111,0.19862888974800266,0.1111111111111111,9.0,2,0.9992909002275309,0.9968117701634408,3,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-07-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.6924755520067152,0.7874846310843235,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-07-01,DR-CVaR,True,0.21195180658416035,0.06338360000000003,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.6924755520067152,0.7874846310843235,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-07-01,RS-CVaR,True,0.06041150067822903,0.04922721879850784,0.0,1.0,0.0,0.7236287236973344,1.7770138402103832,2,0.6924755520067152,0.7874846310843235,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-07-01,RSDR-CVaR,True,0.2716102667264446,0.121802,0.06741372002690013,0.1111111111111111,0.1498082667264446,0.1111111111111111,9.0,2,0.6924755520067152,0.7874846310843235,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-08-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9868303911014328,0.9826246720974461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-08-01,DR-CVaR,True,0.21195180658416035,0.06338360000000003,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9868303911014328,0.9826246720974461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-08-01,RS-CVaR,True,0.056605584145908876,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9868303911014328,0.9826246720974461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-08-01,RSDR-CVaR,True,0.20879987490292978,0.0579047,0.06257071510457131,0.1,0.1251414302091425,0.1,9.999999999999996,2,0.9868303911014328,0.9826246720974461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-09-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9711049992540692,0.9723122487443284,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-09-01,DR-CVaR,True,0.21195180658416035,0.06338360000000003,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9711049992540692,0.9723122487443284,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-09-01,RS-CVaR,True,0.05920769049531661,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9711049992540692,0.9723122487443284,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-09-01,RSDR-CVaR,True,0.21514986504207337,0.06338360000000008,0.06286670077792549,0.10000000000000028,0.12573340155585122,0.10000000000000074,10.0,2,0.9711049992540692,0.9723122487443284,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-10-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9998330808208752,0.9912261764127939,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-10-01,DR-CVaR,True,0.21195180658416035,0.06338360000000003,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9998330808208752,0.9912261764127939,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-10-01,RS-CVaR,True,0.05444721373813224,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9998330808208752,0.9912261764127939,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-10-01,RSDR-CVaR,True,0.20365084483491944,0.0579047,0.06235065477194627,0.1,0.12470130954389244,0.1,9.999999999999996,2,0.9998330808208752,0.9912261764127939,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-11-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.999997723069782,0.991335000995919,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-11-01,DR-CVaR,True,0.21195180658416035,0.06338360000000003,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.999997723069782,0.991335000995919,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-11-01,RS-CVaR,True,0.05441607703756379,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.999997723069782,0.991335000995919,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-11-01,RSDR-CVaR,True,0.20358544350798685,0.0579047,0.06234783884294981,0.1,0.12469567768589952,0.1,9.999999999999996,2,0.999997723069782,0.991335000995919,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-12-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9999898566767462,0.9913299715442461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-12-01,DR-CVaR,True,0.2119518065841599,0.06338359999999957,0.06195578662541357,0.09999999999999974,0.1239115732508267,0.0999999999999999,10.00000000000014,2,0.9999898566767462,0.9913299715442461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-12-01,RS-CVaR,True,0.054417708314518136,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9999898566767462,0.9913299715442461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2020-12-01,RSDR-CVaR,True,0.20358895649811082,0.05790469999999999,0.06234802965257509,0.1,0.12469605930515008,0.1,9.999999999999996,2,0.9999898566767462,0.9913299715442461,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-01-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9999356962267056,0.9912836440124192,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-01-01,DR-CVaR,True,0.2119518065841599,0.06338359999999957,0.06195578662541357,0.09999999999999974,0.1239115732508267,0.0999999999999999,10.00000000000014,2,0.9999356962267056,0.9912836440124192,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-01-01,RS-CVaR,True,0.05441905931007664,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9999356962267056,0.9912836440124192,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-01-01,RSDR-CVaR,True,0.203586434543599,0.05790469999999999,0.06234547200152912,0.1,0.12469094400305814,0.1,9.999999999999996,2,0.9999356962267056,0.9912836440124192,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-02-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9998883486790198,0.9912496220954982,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-02-01,DR-CVaR,True,0.2119518065841599,0.06338359999999957,0.06195578662541357,0.09999999999999974,0.1239115732508267,0.0999999999999999,10.00000000000014,2,0.9998883486790198,0.9912496220954982,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-02-01,RS-CVaR,True,0.05442571113724539,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9998883486790198,0.9912496220954982,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-02-01,RSDR-CVaR,True,0.2035990185938928,0.05790469999999999,0.062345379660797534,0.1,0.12469075932159496,0.1,9.999999999999996,2,0.9998883486790198,0.9912496220954982,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-03-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.99999115826278,0.9913294262887797,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-03-01,DR-CVaR,True,0.2119518065841599,0.06338359999999957,0.06195578662541357,0.09999999999999974,0.1239115732508267,0.0999999999999999,10.00000000000014,2,0.99999115826278,0.9913294262887797,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-03-01,RS-CVaR,True,0.05441627513780228,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.99999115826278,0.9913294262887797,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-03-01,RSDR-CVaR,True,0.203585230665067,0.05790469999999999,0.06234754228660346,0.1,0.12469508457320681,0.1,9.999999999999996,2,0.99999115826278,0.9913294262887797,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-04-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9999965800893615,0.9913343568554683,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-04-01,DR-CVaR,True,0.21195180658416035,0.06338360000000001,0.06195578662541357,0.1,0.12391157325082704,0.1,10.0,2,0.9999965800893615,0.9913343568554683,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-04-01,RS-CVaR,True,0.054416387224907464,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9999965800893615,0.9913343568554683,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-04-01,RSDR-CVaR,True,0.20358615172211056,0.05790470000000033,0.0623478952348961,0.1000000000000003,0.12469579046979246,0.10000000000000077,10.000000000000032,2,0.9999965800893615,0.9913343568554683,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-05-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9999873622647195,0.9913262384200091,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-05-01,DR-CVaR,True,0.21195180658416035,0.0633836,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9999873622647195,0.9913262384200091,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-05-01,RS-CVaR,True,0.054416419767213675,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9999873622647195,0.9913262384200091,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-05-01,RSDR-CVaR,True,0.20358518890785693,0.057904700000000336,0.06234738259394698,0.09999999999999973,0.12469476518789352,0.10000000000000372,10.000000000000034,2,0.9999873622647195,0.9913262384200091,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-06-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.999996983531562,0.9913341679091798,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-06-01,DR-CVaR,True,0.21195180658416035,0.0633836,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.999996983531562,0.9913341679091798,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-06-01,RS-CVaR,True,0.05441592615685237,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.999996983531562,0.9913341679091798,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-06-01,RSDR-CVaR,True,0.20358495133917115,0.057904700000000336,0.0623477375725369,0.09999999999999973,0.12469547514507334,0.10000000000000372,10.000000000000034,2,0.999996983531562,0.9913341679091798,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-07-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9999895086104335,0.9913280031321813,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-07-01,DR-CVaR,True,0.21195180658416035,0.0633836,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9999895086104335,0.9913280031321813,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-07-01,RS-CVaR,True,0.05441630608207918,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9999895086104335,0.9913280031321813,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-07-01,RSDR-CVaR,True,0.20358512626287464,0.057904700000000336,0.062347460385459456,0.09999999999999973,0.12469492077091847,0.10000000000000372,10.000000000000034,2,0.9999895086104335,0.9913280031321813,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-08-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9999993041660108,0.9913360865889556,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-08-01,DR-CVaR,True,0.21195180658416035,0.0633836,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9999993041660108,0.9913360865889556,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-08-01,RS-CVaR,True,0.05441581224986775,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9999993041660108,0.9913360865889556,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-08-01,RSDR-CVaR,True,0.20358490796247752,0.057904700000000336,0.062347825211123496,0.09999999999999973,0.12469565042224653,0.10000000000000372,10.000000000000034,2,0.9999993041660108,0.9913360865889556,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-09-01,SAA-CVaR,True,0.058557576477903786,0.03421096280633614,0.0,1.0,0.0,0.41167777255458216,2.777950481533771,2,0.9999679653396398,0.9913152995527282,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-09-01,DR-CVaR,True,0.21195180658416035,0.0633836,0.06195578662541357,0.1,0.12391157325082704,0.1,9.999999999999996,2,0.9999679653396398,0.9913152995527282,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-09-01,RS-CVaR,True,0.054421677465036886,0.03197043103713935,0.0,1.0,0.0,0.44426411108150543,2.830724548678807,2,0.9999679653396398,0.9913152995527282,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-09-01,RSDR-CVaR,True,0.20359719052938963,0.057904700000000066,0.06234833711205847,0.10000000000000014,0.12469667422411701,0.10000000000000146,9.999999999999957,2,0.9999679653396398,0.9913152995527282,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.1,altdata_bnmeanrank_hmm,2021-10-01,SAA-CVaR,True,0.06237825019978324,0.03468563488037274,0.0,1.0,0.0,0.3421473904551399,3.3652999535622046,2,0.9933337901138873,0.9869448442318526,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
