,RF
2008-12-26,3.5698287639274184e-06
2008-12-29,3.966279028766451e-06
2008-12-30,3.5698287639274184e-06
2008-12-31,5.551685702931408e-06
2009-01-01,5.551685702931408e-06
2009-01-02,3.1733390453148047e-06
2009-01-05,4.362689847159373e-06
2009-01-06,3.5698287639274184e-06
2009-01-07,4.362689847159373e-06
2009-01-08,3.966279028766451e-06
2009-01-09,3.5698287639274184e-06
2009-01-12,3.966279028766451e-06
2009-01-13,3.966279028766451e-06
2009-01-14,5.947938814809817e-06
2009-01-15,7.136461739776223e-06
2009-01-16,7.532557270595319e-06
2009-01-19,7.532557270595319e-06
2009-01-20,7.92861342602258e-06
2009-01-21,9.116545717002822e-06
2009-01-22,8.32463021360752e-06
2009-01-23,7.136461739776223e-06
2009-01-26,7.532557270595319e-06
2009-01-27,7.136461739776223e-06
2009-01-28,7.532557270595319e-06
2009-01-29,9.116545717002822e-06
2009-01-30,9.116545717002822e-06
2009-02-02,9.512444448356305e-06
2009-02-03,9.512444448356305e-06
2009-02-04,9.512444448356305e-06
2009-02-05,9.116545717002822e-06
2009-02-06,9.116545717002822e-06
2009-02-09,8.720607641343747e-06
2009-02-10,9.512444448356305e-06
2009-02-11,8.720607641343747e-06
2009-02-12,9.116545717002822e-06
2009-02-13,8.720607641343747e-06
2009-02-16,8.720607641343747e-06
2009-02-17,9.908303843175759e-06
2009-02-18,9.116545717002822e-06
2009-02-19,8.32463021360752e-06
2009-02-20,7.92861342602258e-06
2009-02-23,7.532557270595319e-06
2009-02-24,8.32463021360752e-06
2009-02-25,8.32463021360752e-06
2009-02-26,8.720607641343747e-06
2009-02-27,8.720607641343747e-06
2009-03-02,8.720607641343747e-06
2009-03-03,7.92861342602258e-06
2009-03-04,8.32463021360752e-06
2009-03-05,7.92861342602258e-06
2009-03-06,7.92861342602258e-06
2009-03-09,7.92861342602258e-06
2009-03-10,7.92861342602258e-06
2009-03-11,7.532557270595319e-06
2009-03-12,7.136461739776223e-06
2009-03-13,5.947938814809817e-06
2009-03-16,7.92861342602258e-06
2009-03-17,7.92861342602258e-06
2009-03-18,7.136461739776223e-06
2009-03-19,6.740326825349641e-06
2009-03-20,7.136461739776223e-06
2009-03-23,6.740326825349641e-06
2009-03-24,6.740326825349641e-06
2009-03-25,6.740326825349641e-06
2009-03-26,6.344152519766055e-06
2009-03-27,5.947938814809817e-06
2009-03-30,6.344152519766055e-06
2009-03-31,6.344152519766055e-06
2009-04-01,6.344152519766055e-06
2009-04-02,6.344152519766055e-06
2009-04-03,5.155393176359269e-06
2009-04-06,5.551685702931408e-06
2009-04-07,5.551685702931408e-06
2009-04-08,5.551685702931408e-06
2009-04-09,5.551685702931408e-06
2009-04-10,5.947938814809817e-06
2009-04-13,5.155393176359269e-06
2009-04-14,6.344152519766055e-06
2009-04-15,6.344152519766055e-06
2009-04-16,5.947938814809817e-06
2009-04-17,5.155393176359269e-06
2009-04-20,5.551685702931408e-06
2009-04-21,5.947938814809817e-06
2009-04-22,5.947938814809817e-06
2009-04-23,6.740326825349641e-06
2009-04-24,6.344152519766055e-06
2009-04-27,6.740326825349641e-06
2009-04-28,6.344152519766055e-06
2009-04-29,7.136461739776223e-06
2009-04-30,7.92861342602258e-06
2009-05-01,8.720607641343747e-06
2009-05-04,8.720607641343747e-06
2009-05-05,7.92861342602258e-06
2009-05-06,7.136461739776223e-06
2009-05-07,7.136461739776223e-06
2009-05-08,6.740326825349641e-06
2009-05-11,6.740326825349641e-06
2009-05-12,6.344152519766055e-06
2009-05-13,6.344152519766055e-06
2009-05-14,6.344152519766055e-06
2009-05-15,6.740326825349641e-06
2009-05-18,6.344152519766055e-06
2009-05-19,5.947938814809817e-06
2009-05-20,5.551685702931408e-06
2009-05-21,6.740326825349641e-06
2009-05-22,6.740326825349641e-06
2009-05-25,6.740326825349641e-06
2009-05-26,7.136461739776223e-06
2009-05-27,6.740326825349641e-06
2009-05-28,6.740326825349641e-06
2009-05-29,7.532557270595319e-06
2009-06-01,8.32463021360752e-06
2009-06-02,7.92861342602258e-06
2009-06-03,8.32463021360752e-06
2009-06-04,7.92861342602258e-06
2009-06-05,8.32463021360752e-06
2009-06-08,8.32463021360752e-06
2009-06-09,7.136461739776223e-06
2009-06-10,7.136461739776223e-06
2009-06-11,6.740326825349641e-06
2009-06-12,6.740326825349641e-06
2009-06-15,8.720607641343747e-06
2009-06-16,8.720607641343747e-06
2009-06-17,9.512444448356305e-06
2009-06-18,9.908303843175759e-06
2009-06-19,9.908303843175759e-06
2009-06-22,9.512444448356305e-06
2009-06-23,9.512444448356305e-06
2009-06-24,8.32463021360752e-06
2009-06-25,7.532557270595319e-06
2009-06-26,7.136461739776223e-06
2009-06-29,6.740326825349641e-06
2009-06-30,8.720607641343747e-06
2009-07-01,7.92861342602258e-06
2009-07-02,6.740326825349641e-06
2009-07-03,6.344152519766055e-06
2009-07-06,7.136461739776223e-06
2009-07-07,7.136461739776223e-06
2009-07-08,6.344152519766055e-06
2009-07-09,5.947938814809817e-06
2009-07-10,5.947938814809817e-06
2009-07-13,5.155393176359269e-06
2009-07-14,5.155393176359269e-06
2009-07-15,5.551685702931408e-06
2009-07-16,5.947938814809817e-06
2009-07-17,5.947938814809817e-06
2009-07-20,5.947938814809817e-06
2009-07-21,5.551685702931408e-06
2009-07-22,5.551685702931408e-06
2009-07-23,5.947938814809817e-06
2009-07-24,5.947938814809817e-06
2009-07-27,6.344152519766055e-06
2009-07-28,5.947938814809817e-06
2009-07-29,6.740326825349641e-06
2009-07-30,6.740326825349641e-06
2009-07-31,7.136461739776223e-06
2009-08-03,7.136461739776223e-06
2009-08-04,6.740326825349641e-06
2009-08-05,6.740326825349641e-06
2009-08-06,6.740326825349641e-06
2009-08-07,6.740326825349641e-06
2009-08-10,6.740326825349641e-06
2009-08-11,6.344152519766055e-06
2009-08-12,5.947938814809817e-06
2009-08-13,5.947938814809817e-06
2009-08-14,5.947938814809817e-06
2009-08-17,6.740326825349641e-06
2009-08-18,6.740326825349641e-06
2009-08-19,6.740326825349641e-06
2009-08-20,6.740326825349641e-06
2009-08-21,6.344152519766055e-06
2009-08-24,6.344152519766055e-06
2009-08-25,5.947938814809817e-06
2009-08-26,5.947938814809817e-06
2009-08-27,5.551685702931408e-06
2009-08-28,5.551685702931408e-06
2009-08-31,5.947938814809817e-06
2009-09-01,5.947938814809817e-06
2009-09-02,6.344152519766055e-06
2009-09-03,5.947938814809817e-06
2009-09-04,5.947938814809817e-06
2009-09-07,5.947938814809817e-06
2009-09-08,5.947938814809817e-06
2009-09-09,5.947938814809817e-06
2009-09-10,6.344152519766055e-06
2009-09-11,5.947938814809817e-06
2009-09-14,6.344152519766055e-06
2009-09-15,6.740326825349641e-06
2009-09-16,6.740326825349641e-06
2009-09-17,6.344152519766055e-06
2009-09-18,6.344152519766055e-06
2009-09-21,5.947938814809817e-06
2009-09-22,5.947938814809817e-06
2009-09-23,5.947938814809817e-06
2009-09-24,5.551685702931408e-06
2009-09-25,5.155393176359269e-06
2009-09-28,5.155393176359269e-06
2009-09-29,4.362689847159373e-06
2009-09-30,2.77680986426887e-06
