,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2007-06-01,1,0,0.004582835068007677,0.004582835068007677,0.2296968613688587,0.20900173923108295,0.17311870174393548,0.20379629740408894,0.1798035651830307
2007-07-01,4,0,0.021452429010704464,0.021452429010704464,0.17960039712671622,0.19947594085386075,0.18436266506058338,0.21403923382714016,0.2010693341200162
2007-08-01,4,0,0.08575455885666429,0.08575455885666429,0.16454266507940715,0.2020397297058733,0.18006604473700621,0.21756685186848712,0.1500301497516476
2007-09-01,4,0,0.01888951083120278,0.01888951083120278,0.15418370938495146,0.18023620520123423,0.21290624033129935,0.2217633536861156,0.2120209805642154
2007-10-01,4,0,0.01445778231281654,0.01445778231281654,0.15821137066805194,0.20407002146763178,0.19232563176317355,0.22375986142339696,0.20717533236394362
2007-11-01,1,0,0.1379064557490566,0.1379064557490566,0.20481278367004754,0.14201809061113832,0.16151388111441206,0.17745027643492509,0.17629851241955813
2007-12-01,2,0,0.02219692518649159,0.02219692518649159,0.17253994824647934,0.21862344236504552,0.21379543724662828,0.19593831432059686,0.17690593263378054
2008-01-01,0,1,0.4134724406060713,0.4134724406060713,0.11403301360077231,0.09312553747670976,0.14070342122572313,0.11755079412676117,0.1211147929633758
2008-02-01,1,0,0.09405441137446413,0.09405441137446413,0.20167681172796956,0.15506066737404056,0.15906524151775062,0.20001810287531147,0.19012476512955764
2008-03-01,3,0,0.13253248125679082,0.13253248125679082,0.16170104883525344,0.18830626942784995,0.18884062500092136,0.1659221380509794,0.16269743742733755
2008-04-01,1,0,0.06866529015640456,0.06866529015640456,0.20577086618987078,0.16048557461800442,0.1652762692349308,0.20476750486656206,0.19503449493329592
2008-05-01,2,0,0.026722933778463014,0.026722933778463014,0.18602531082453236,0.22613853923687743,0.15752294524713686,0.22511625771089033,0.1784740132011267
2008-06-01,0,1,0.2509823371284147,0.2509823371284147,0.15665092435021855,0.14318525314843134,0.12413432087878785,0.17272231400921845,0.15232485048418004
2008-07-01,0,1,0.21427383396945338,0.21427383396945338,0.1508377730917405,0.1665871083301107,0.1749235184084059,0.13633422581934324,0.15704354038016052
2008-08-01,1,0,0.036187147492618615,0.036187147492618615,0.2081908247288995,0.19528785590851583,0.18843551909685066,0.1674210987407792,0.20447755403137235
2008-09-01,0,1,0.48806562030065115,0.48806562030065115,0.10774759172521121,0.11179985804465017,0.08863536640835952,0.09611535217514203,0.10763621134547391
2008-10-01,0,1,0.6808961629341278,0.6808961629341278,0.06830239393884012,0.052424777992417626,0.07244105481218738,0.06128415158116798,0.06465145874093993
2008-11-01,0,1,0.35307577780742305,0.35307577780742305,0.11918519693736193,0.1426640544839089,0.14238156917086936,0.1344946271255353,0.1081987744742546
2008-12-01,0,1,0.2619597366810166,0.2619597366810166,0.15406066892239,0.13810805725099487,0.1492615435706543,0.12940699650357945,0.16720299707062675
2009-01-01,0,1,0.3472358535136348,0.3472358535136348,0.13319907395905892,0.10163059647794566,0.12481071781412321,0.15492851957748666,0.13819523865709787
2009-02-01,4,0,0.1030322355742285,0.1030322355742285,0.1892163744108103,0.15427903129590542,0.1688467334010665,0.19382787808431487,0.19079774723277726
2009-03-01,3,0,0.05765501470166415,0.05765501470166415,0.17123124331591333,0.19053456027956892,0.21065533294852054,0.2097569277081125,0.16016692104527816
2009-04-01,0,1,0.23509222907590638,0.23509222907590638,0.14508154904457382,0.1509752759359866,0.15652627533947183,0.1329577633591852,0.17936690724411108
2009-05-01,0,1,0.2682045675489662,0.2682045675489662,0.17477705666991206,0.14353103740545847,0.13616610247085872,0.14646096326918673,0.130860272634886
