gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message
0.06,altdata_bnmeanrank_hmm,2017-10-01,RS-CVaR,True,0.07181208418360846,0.04702250493628684,0.0,1.0,0.0,0.6444902407181623,1.8458533094559986,2,0.9996253979715195,0.9995796730910631,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-10-01,RSDR-CVaR,True,0.17946225665293897,0.07577530000000034,0.03750199663282766,0.1000000000000004,0.07500399326565554,0.10000000000000414,9.999999999999952,2,0.9996253979715195,0.9995796730910631,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-11-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,2,0.9995467610317239,0.9995015698694342,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-11-01,DR-CVaR,True,0.17642534395049622,0.0757753,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,2,0.9995467610317239,0.9995015698694342,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-11-01,RS-CVaR,True,0.07159031252327909,0.04702250493628684,0.0,1.0,0.0,0.6444902407181623,1.8458533094559986,2,0.9995467610317239,0.9995015698694342,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-11-01,RSDR-CVaR,True,0.17913572679467243,0.07577530000000002,0.03746904072157455,0.1,0.07493808144314905,0.1,9.999999999999998,2,0.9995467610317239,0.9995015698694342,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-12-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,2,0.9994721773504358,0.9994275372232476,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-12-01,DR-CVaR,True,0.17642534395049622,0.0757753,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,2,0.9994721773504358,0.9994275372232476,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-12-01,RS-CVaR,True,0.07137628791051696,0.04702250493628684,0.0,1.0,0.0,0.6444902407181623,1.8458533094559986,2,0.9994721773504358,0.9994275372232476,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2017-12-01,RSDR-CVaR,True,0.17881534106520455,0.07577529999999823,0.037436775033542036,0.10000000000000049,0.07487355006708438,0.10000000000000159,9.99999999999997,2,0.9994721773504358,0.9994275372232476,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-01-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,2,0.9994183618971305,0.9993743526761159,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-01-01,DR-CVaR,True,0.17642534395049622,0.0757753,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,2,0.9994183618971305,0.9993743526761159,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-01-01,RS-CVaR,True,0.07116234356594318,0.04702250493628684,0.0,1.0,0.0,0.6444902407181623,1.8458533094559986,2,0.9994183618971305,0.9993743526761159,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-01-01,RSDR-CVaR,True,0.17849950799949227,0.0757753,0.03740421930160557,0.1,0.07480843860321107,0.1,9.999999999999996,2,0.9994183618971305,0.9993743526761159,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-02-01,SAA-CVaR,True,0.06974023683387101,0.04702250493628684,0.0,1.0,0.0,0.6444902407181623,1.8458533094559986,2,0.9983755420762709,0.9983331350078883,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-02-01,DR-CVaR,True,0.1764253439504963,0.07577530000000028,0.03717347197524814,0.10000000000000002,0.07434694395049622,0.10000000000000159,10.00000000000002,2,0.9983755420762709,0.9983331350078883,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-02-01,RS-CVaR,True,0.07089675864573063,0.04702250493628684,0.0,1.0,0.0,0.6444902407181623,1.8458533094559986,2,0.9983755420762709,0.9983331350078883,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-02-01,RSDR-CVaR,True,0.1781894319003159,0.07577530000000002,0.03738599249141958,0.1,0.07477198498283909,0.1,9.999999999999998,2,0.9983755420762709,0.9983331350078883,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-03-01,SAA-CVaR,True,0.07184157659159408,0.05274957014937769,0.0,1.0,0.0,0.6120209534336584,2.2194230536642356,2,0.9997994561385934,0.9997569067759703,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-03-01,DR-CVaR,True,0.17642534395049386,0.0757752999999988,0.03717347197524814,0.0999999999999976,0.07434694395049443,0.10000000000000375,10.000000000000204,2,0.9997994561385934,0.9997569067759703,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-03-01,RS-CVaR,True,0.07248593844520786,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9997994561385934,0.9997569067759703,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
