gamma,regime_source,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,altdata_bnmeanrank_hmm,2015-04-01,RSDR-CVaR,0.15109703876919434,0.0,0.09341776738482786,0.0,0.0,0.15109703876919406,0.15109703876919464,0.1510970387691944,0.15109703876919392,0.15109703876919456
0.02,altdata_bnmeanrank_hmm,2015-05-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdata_bnmeanrank_hmm,2015-05-01,DR-CVaR,0.11742501108928527,0.03013419851781529,0.11510784975249015,0.03278287410470018,0.11742501108928526,0.11742501108928524,0.11742501108928526,0.11742501108928455,0.1174250110892849,0.11742501108928478
0.02,altdata_bnmeanrank_hmm,2015-05-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5411386235133554,0.0,0.4588613764866446,0.0
0.02,altdata_bnmeanrank_hmm,2015-05-01,RSDR-CVaR,0.1510970387691958,0.0,0.09341776738482753,0.0,0.0,0.15109703876919456,0.15109703876919509,0.15109703876919542,0.15109703876919603,0.1510970387691954
0.02,altdata_bnmeanrank_hmm,2015-06-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdata_bnmeanrank_hmm,2015-06-01,DR-CVaR,0.11742501108928527,0.03013419851781529,0.11510784975249015,0.03278287410470018,0.11742501108928526,0.11742501108928524,0.11742501108928526,0.11742501108928455,0.1174250110892849,0.11742501108928478
0.02,altdata_bnmeanrank_hmm,2015-06-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5411386235133554,0.0,0.4588613764866446,0.0
0.02,altdata_bnmeanrank_hmm,2015-06-01,RSDR-CVaR,0.15109703876919456,0.0,0.09341776738482943,0.0,0.0,0.1510970387691946,0.15109703876919875,0.15109703876919459,0.15109703876919447,0.15109703876919456
0.02,altdata_bnmeanrank_hmm,2015-07-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdata_bnmeanrank_hmm,2015-07-01,DR-CVaR,0.11742501108928424,0.030134198517816152,0.11510784975248996,0.03278287410469855,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928348,0.11742501108928505,0.11742501108928742
0.02,altdata_bnmeanrank_hmm,2015-07-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5411386235133554,0.0,0.4588613764866446,0.0
0.02,altdata_bnmeanrank_hmm,2015-07-01,RSDR-CVaR,0.15109703876919606,0.0,0.09341776738482495,0.0,0.0,0.15109703876919567,0.15109703876919234,0.15109703876919575,0.15109703876919783,0.15109703876919606
0.02,altdata_bnmeanrank_hmm,2015-08-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdata_bnmeanrank_hmm,2015-08-01,DR-CVaR,0.11742501108928496,0.03013419851781858,0.11510784975248789,0.03278287410469898,0.11742501108928495,0.11742501108928495,0.11742501108928495,0.11742501108928495,0.11742501108928495,0.11742501108928495
0.02,altdata_bnmeanrank_hmm,2015-08-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5411386235133554,0.0,0.4588613764866446,0.0
0.02,altdata_bnmeanrank_hmm,2015-08-01,RSDR-CVaR,0.1510970387691943,0.0,0.09341776738482811,0.0,0.0,0.15109703876919475,0.15109703876919445,0.15109703876919423,0.1510970387691943,0.15109703876919456
0.02,altdata_bnmeanrank_hmm,2015-09-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2015-09-01,DR-CVaR,0.11742501108928499,0.030134198517818178,0.11510784975248786,0.032782874104699045,0.11742501108928494,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499
0.02,altdata_bnmeanrank_hmm,2015-09-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2015-09-01,RSDR-CVaR,0.13142239050151153,0.0,0.10447147857660345,0.0,0.10699417841432397,0.13142239050151208,0.13142239050151597,0.13142239050151017,0.1314223905015102,0.13142239050151153
0.02,altdata_bnmeanrank_hmm,2015-10-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2015-10-01,DR-CVaR,0.11742501108928492,0.030134198517818303,0.11510784975248788,0.03278287410469902,0.11742501108928495,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,altdata_bnmeanrank_hmm,2015-10-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdata_bnmeanrank_hmm,2015-10-01,RSDR-CVaR,0.13142239050151328,0.0,0.10447147857660471,0.0,0.10699417841431107,0.13142239050151322,0.1314223905015134,0.13142239050151247,0.1314223905015137,0.13142239050151316
0.02,altdata_bnmeanrank_hmm,2015-11-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
