Date,Regime_0,Regime_1,Regime_2,Regime_3
2008-12-03,0.9973356968018009,0.0026643031982002637,2.289870937106977e-23,0.0
2008-12-04,0.9999999999542624,4.573562266854089e-11,7.750479269639307e-46,0.0
2008-12-05,1.0,4.338072184931279e-22,2.8408706428679504e-94,0.0
2008-12-08,1.0,4.5425957306080077e-23,2.1209975025185376e-128,0.0
2008-12-09,0.9776978974198097,0.02230210258019043,2.6226621654886214e-26,0.0
2008-12-10,0.9999999999999964,3.381008336367696e-15,1.2775601346943008e-48,0.0
2008-12-11,1.0,3.443198985943007e-24,1.784098517721669e-130,0.0
2008-12-12,0.9999999991853734,8.146264866132561e-10,5.93310872198327e-40,1.5957210225711693e-185
2008-12-15,0.999992498702821,7.501297178760971e-06,9.744879176137083e-22,3.87105874449972e-216
2008-12-16,1.0,7.01997214628439e-30,4.92416440799925e-165,0.0
2008-12-17,1.0,5.38561719405709e-23,7.796574929023078e-61,0.0
2008-12-18,0.9999957631385761,4.236861422692281e-06,9.073883253926916e-36,0.0
2008-12-19,0.9999999997954809,2.0451826243684866e-10,3.2936067830307637e-47,3.1039748647631475e-275
2008-12-22,0.9623695804842187,0.03763041951578053,1.4024342487668067e-15,1.124650867933355e-189
2008-12-23,0.008363721916392211,0.9916323839657292,3.89411787913716e-06,1.0261321173462313e-47
2008-12-24,0.5074584262162626,0.49254157378290225,8.338176421328242e-13,1.305849446668039e-68
2008-12-25,9.385137966551663e-06,2.2882627252602857e-30,8.574348274345958e-64,0.9999906148620331
2008-12-26,0.5558836042151387,0.4441163957848618,2.954502312518969e-17,3.2994197292719e-170
2008-12-29,0.16118966366272722,0.8388103363369989,2.7348155023033845e-13,1.57414925431968e-91
2008-12-30,0.9999995272390566,4.7276094242774315e-07,6.010585712951647e-36,0.0
2008-12-31,0.9999999999724167,2.7580717323918002e-11,2.2245427034516823e-63,0.0
2009-01-01,1.3382009376407788e-42,0.0,0.0,1.0
2009-01-02,0.9999999909539277,9.04607138310335e-09,5.963718425463367e-29,0.0
2009-01-05,0.9999999994330935,5.669071815311087e-10,4.4851114373590604e-58,1.0423167670389846e-133
2009-01-06,1.0,3.0815350534866908e-22,8.475626204482747e-92,0.0
2009-01-07,1.0,4.0122287040878766e-18,4.762650210317788e-72,0.0
2009-01-08,0.999924221495239,7.577850476180422e-05,6.860415917504072e-20,1.6809428129696441e-131
2009-01-09,0.7310329868165181,0.2689670131293626,5.411779751105914e-11,0.0
2009-01-12,0.9999991761146295,8.238853702376215e-07,1.6325235450311285e-51,0.0
2009-01-13,0.9999980630004651,1.9369995349996637e-06,1.2033720833000977e-25,6.023603060686104e-39
2009-01-14,0.19283124188300335,0.807168758116998,1.36322567658795e-43,0.0
2009-01-15,0.9999986592142882,1.3407857123654653e-06,5.3203166815822423e-20,6.47423560944931e-42
2009-01-16,0.9999997855569321,2.1444306771695038e-07,9.853167307640841e-77,0.0
2009-01-19,0.00043309232637472905,1.3070473237843734e-70,5.319127328726542e-162,0.9995669076736288
2009-01-20,1.0,9.696954337194983e-22,5.4093966413143535e-109,0.0
2009-01-21,1.0,8.412124128312609e-18,1.8761439025156128e-124,0.0
2009-01-22,0.46912478165720595,0.5308752179517291,3.910647360919141e-10,2.1046196390709453e-257
2009-01-23,0.9999999994767776,5.232221449632526e-10,3.796810295037303e-44,5.845133689595393e-305
2009-01-26,0.8615704514675206,0.1384295484093931,1.2308640055110795e-10,3.203686891757712e-54
2009-01-27,0.9999883618877818,1.1638112217527337e-05,1.0344701487629978e-20,0.0
2009-01-28,0.9999991484522932,8.515477080801929e-07,8.93474911267962e-28,0.0
2009-01-29,0.8559852893841371,0.14401471061581833,4.539349058741679e-14,0.0
2009-01-30,0.05042098425411877,0.9495789270338826,8.871199690340781e-08,1.33e-322
2009-02-02,0.32571029470443963,0.6742897047356007,5.599605909916314e-10,2.213410701050073e-52
2009-02-03,0.9999999998523208,1.476794686226161e-10,1.4821282785084945e-32,5.6569572328771315e-151
2009-02-04,0.00657707842144842,0.9933563012608405,6.662031771169655e-05,1.287336283957761e-43
2009-02-05,0.010685115921817534,0.9893140917382679,7.923399129670941e-07,9.987143851680842e-252
2009-02-06,0.9635374395354314,0.03646256046433131,2.3582328003368283e-13,0.0
2009-02-09,0.6652711182617013,0.3347221580644202,6.723673880367133e-06,4.809313853616769e-64
2009-02-10,0.9996433466508172,0.0003566533491837909,9.49697110574017e-35,0.0
2009-02-11,0.8870134045540413,0.1129865954326165,1.3342731307119098e-11,5.574093575345781e-54
2009-02-12,0.065980315961147,0.9340196824942077,1.5446441321641675e-09,2.3916725860301254e-23
2009-02-13,0.5373558258529931,0.46264417414405584,2.951971495263926e-12,4.4553028915577335e-97
2009-02-16,6.2613212894224e-18,1.887474306479879e-137,2.585016221613739e-293,1.0
2009-02-17,0.9999999278655441,7.213445696188364e-08,2.124127276439146e-118,0.0
2009-02-18,0.9999281655676148,7.183443238625319e-05,1.3144649927598603e-21,6.616755296724906e-63
2009-02-19,0.610751358381827,0.38924864161797096,2.0132241288767523e-13,1.396311879403836e-172
2009-02-20,0.9909462509313895,0.009053749068609644,4.117408525864125e-19,1.2961853574854077e-118
2009-02-23,0.9976747526978895,0.002325247302109501,2.18857092315065e-20,0.0
2009-02-24,0.9999999854141954,1.4585802862161353e-08,2.0630219209651047e-70,0.0
2009-02-25,0.3157257882901634,0.6806652679290371,0.0036089437807999493,1.659449605489467e-208
2009-02-26,0.9939466589438349,0.006053341056163694,2.4577843765871034e-17,3.9900282851546615e-221
2009-02-27,0.3198860403021664,0.680113959694191,3.643243753782262e-12,1.8614327729746e-251
2009-03-02,0.9999960729723242,3.927027676705887e-06,1.877140175335668e-86,0.0
2009-03-03,0.9991508318719764,0.0008491681280249318,1.1403143731363016e-18,2.136714209979134e-109
2009-03-04,0.9999999991845847,8.154156940256808e-10,3.696111750994117e-69,0.0
2009-03-05,0.9999953460524874,4.653947511339235e-06,4.912403693552419e-103,0.0
2009-03-06,0.0140896769338674,0.9859103158532906,7.212842720399373e-09,5.764770281359293e-98
2009-03-09,0.9991731778300762,0.0008268221699224566,2.169135369746877e-23,2.56085461685659e-119
2009-03-10,1.0,5.87915410340452e-22,3.3025364321240274e-213,0.0
2009-03-11,0.7236212540275956,0.27637872909514927,1.6877256577544427e-08,3.152181736154474e-168
2009-03-12,1.0,2.0730884356527033e-15,1.5429914080320995e-103,0.0
2009-03-13,0.0006411069775179085,0.9993356728549863,2.3220167496624316e-05,1.0095149496978277e-39
2009-03-16,0.001185773292866794,0.9988105894125053,3.6372946269824833e-06,3.603884269247812e-70
2009-03-17,0.013589945379370583,0.9864100546205675,6.194221594113182e-14,0.0
2009-03-18,1.0,7.141457602301236e-35,2.4567429212090134e-79,0.0
2009-03-19,0.9999999999990123,9.884536655941662e-13,1.9400633141324715e-58,0.0
2009-03-20,0.3131753766382588,0.6868246066168242,1.674491539616235e-08,0.0
2009-03-23,0.9999999951628382,4.8371626795658135e-09,7.941290143133566e-48,0.0
2009-03-24,0.9999953800016214,4.619998379078225e-06,1.0349751158565e-25,0.0
2009-03-25,0.9999278473368263,7.21526631752539e-05,9.065027836092986e-17,2.895833091900067e-127
2009-03-26,0.9999999957970402,4.2029590603561654e-09,7.631371118325529e-43,0.0
2009-03-27,0.9999999317528984,6.824710079657173e-08,1.5177313298806886e-36,0.0
2009-03-30,0.9999999999988525,1.1465855924210757e-12,3.883998508851408e-50,0.0
2009-03-31,0.4971013832722326,0.5028986164644842,2.6328445919970173e-10,7.018843305703433e-301
2009-04-01,0.0011771246663692017,0.9979867655862243,0.0008361097474053484,1.3036732082218123e-138
2009-04-02,0.9999999992274944,7.725062560582016e-10,2.4104151882836706e-55,0.0
2009-04-03,0.9798180619306993,0.020181938069177736,1.2425369498115274e-13,6.868394947331222e-185
2009-04-06,0.09141636477751036,0.9085836169277559,1.82947335469366e-08,2.2400184258684823e-210
2009-04-07,0.2241228035824541,0.7758771964169863,5.599675787587415e-13,0.0
2009-04-08,0.006404117702909104,0.993567543027623,2.833926946744719e-05,2.2859803598112855e-132
2009-04-09,1.0,2.8578467811925103e-18,7.096305353960757e-83,0.0
2009-04-10,7.963867677771576e-205,0.0,0.0,1.0
2009-04-13,0.99873568534624,0.001264314653734843,2.527106526561491e-14,7.608021720405566e-30
2009-04-14,0.9999998913176805,1.0868232102924755e-07,6.919929925632656e-38,0.0
2009-04-15,0.9999999999703455,2.965598580943158e-11,8.582245910287848e-52,2.336996102314383e-229
2009-04-16,0.9999999848149025,1.5185097313813826e-08,1.7665858612934637e-43,0.0
2009-04-17,0.7116360720345462,0.28836392783993686,1.2551699224744962e-10,8.390682189063672e-69
2009-04-20,0.9999999999975557,2.4450982263082596e-12,3.92048531189569e-73,0.0
2009-04-21,0.9999999991050181,8.949831799144731e-10,1.3663122818462358e-43,0.0
2009-04-22,0.692258110903865,0.307740815471318,1.0736248182947615e-06,2.6342475031483553e-20
2009-04-23,0.4659554186506024,0.5340424395649895,2.141784408954874e-06,6.990650991003371e-45
2009-04-24,0.19624637536432116,0.8037536226711969,1.9644830747363295e-09,1.4532115577897623e-201
2009-04-27,0.5864278569291371,0.41357214304607737,2.4784433372202877e-11,1.754075152575707e-269
2009-04-28,0.6265577587820249,0.3734422333580586,7.8599158813807e-09,2.406981199387833e-21
2009-04-29,0.06657693366590957,0.9334230663340274,6.236477482181595e-14,0.0
2009-04-30,0.9999020394084297,9.796059156950043e-05,2.5085764216003905e-34,4.5337330308878e-97
2009-05-01,0.016497198820643492,0.9834742218630371,2.85793163190504e-05,0.0
2009-05-04,0.9998584963444467,0.00014150365555435008,3.3676309854755324e-22,0.0
2009-05-05,0.05809128091173684,0.9419087190722714,1.599229052078575e-11,1.511987023701899e-79
2009-05-06,0.9999996703766537,3.296233473479523e-07,1.2187766788615867e-34,0.0
2009-05-07,0.999985518444927,1.4481555072072698e-05,4.2211494648055166e-30,2.546089844591353e-259
2009-05-08,0.999999981639345,1.8360654108478428e-08,4.740558655162456e-44,0.0
2009-05-11,0.9985788964085333,0.0014211035914654653,6.118288684484815e-22,0.0
2009-05-12,0.9537740069331587,0.04622362882231906,2.3642445223971895e-06,5.640335712221639e-32
2009-05-13,0.9983141048800553,0.0016858951199430752,1.2384804974011064e-23,0.0
2009-05-14,0.06438530992494819,0.9356146719541067,1.8120945128647542e-08,2.684485213223568e-117
2009-05-15,0.053915548567230444,0.946084450282442,1.1503292789557837e-09,2.859699742714666e-249
