,MXCXDMHR,RU30INTR,MXEF,BCOMTR,LGY7TRUH,LUACTRUU,LF98TRUU,BCIT5T,EMUSTRUU,PUT
2025-06-17,4.837209602638609e-14,8.398923084413079e-14,9.17973194378836e-16,0.014706903213969414,0.3646635949709079,6.383962867934025e-15,0.6206295018149525,0.0,0.0,3.073373854893763e-14
2025-06-18,0.0,0.0,0.0,0.024272831107663585,0.3819472868976505,0.0,0.5937798819946859,0.0,0.0,0.0
2025-06-19,4.1268669345299313e-13,4.039551761017176e-13,4.866917393477091e-13,0.02436295339073315,0.4060741341319702,6.248159755421723e-13,0.5695629124727509,5.820658113277059e-13,1.7338335061998048e-12,3.01541030710225e-13
2025-06-20,1.8344601215538916e-11,1.8012429798109532e-11,2.0652941818817722e-11,0.0246374968382274,0.40254312168175427,2.4406753068846998e-11,0.5728193812641205,2.3122125156722998e-11,9.661731240275243e-11,1.474181682581105e-11
2025-06-23,0.0,0.0,0.0,0.017377715528187194,0.3880025259168658,0.0,0.5946197585548965,1.194156418596374e-14,3.8634900744678267e-14,0.0
2025-06-24,3.491979689724952e-14,6.889452024820812e-14,1.3601905933767624e-14,0.009896106356862151,0.3876429763350453,1.5502477749913678e-15,0.6024609173079573,0.0,0.0,1.6447881075690587e-14
2025-06-25,7.479880157479173e-16,0.0,3.176086173735497e-15,2.2370765227034507e-15,0.3730406984152725,1.466075224586506e-15,0.6269593015847187,1.2059005756156918e-15,0.0,0.0
2025-06-26,0.0,0.0,0.0,0.0014904484089011815,0.37121604210423986,0.0,0.6272935094868207,7.403212705268784e-15,3.086646958693362e-14,0.0
2025-06-27,3.919700551279798e-14,7.675273732641032e-14,1.25757117048305e-15,0.006658118299070607,0.38162032203318114,4.033129215119327e-15,0.6117215596676067,0.0,0.0,2.035340767545423e-14
2025-06-30,0.0,0.0,0.0,0.008546710739756831,0.3689207843874067,0.0,0.622532504872809,6.03698432284752e-15,2.1580106667597807e-14,0.0
2025-07-01,1.3090101289467048e-15,1.9844897754987384e-15,0.0,0.003731563418851922,0.3604923359590017,0.0,0.6357761006221425,0.0,0.0,3.9404058089405855e-16
2025-07-02,3.053182982852215e-14,2.797899967649618e-14,0.0,0.005050893395057236,0.3647479477813069,1.2431346014661086e-15,0.6302011588235624,0.0,0.0,1.3725141671798519e-14
