gamma,regime_source,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,altdataonly_gmm,2017-01-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_gmm,2017-01-01,RSDR-CVaR,0.11742501108928496,0.03013419851781841,0.11510784975248778,0.032782874104699,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496,0.11742501108928496
0.02,altdataonly_gmm,2017-02-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-02-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdataonly_gmm,2017-02-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_gmm,2017-02-01,RSDR-CVaR,0.11770254759716837,0.026066425905691117,0.11770254759716814,0.03231319331696264,0.11770254759716829,0.11770254759716829,0.11770254759716829,0.11770254759716829,0.11770254759716829,0.11770254759716829
0.02,altdataonly_gmm,2017-03-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-03-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdataonly_gmm,2017-03-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6444902407181623,0.3555097592818377,0.0,0.0
0.02,altdataonly_gmm,2017-03-01,RSDR-CVaR,0.11111111111111192,0.11111111111111112,0.11111111111111192,0.0,0.11111111111111156,0.11111111111111069,0.1111111111111111,0.1111111111111101,0.11111111111111112,0.11111111111111113
0.02,altdataonly_gmm,2017-04-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-04-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdataonly_gmm,2017-04-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7022097048954141,0.10603213598576512,0.19175815911882077,0.0
0.02,altdataonly_gmm,2017-04-01,RSDR-CVaR,0.125,0.0,0.1250000000000001,0.0,0.125,0.125,0.125,0.125,0.125,0.125
0.02,altdataonly_gmm,2017-05-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-05-01,DR-CVaR,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,altdataonly_gmm,2017-05-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6751136363636364,0.3248863636363636,0.0,0.0
0.02,altdataonly_gmm,2017-05-01,RSDR-CVaR,0.10258306766243712,0.10258306766243713,0.1025830676624373,0.07675239103806575,0.10258306766243713,0.10258306766243713,0.10258306766243713,0.10258306766243713,0.10258306766243713,0.10258306766243713
0.02,altdataonly_gmm,2017-06-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-06-01,DR-CVaR,0.11742501108928485,0.030134198517817665,0.11510784975248844,0.032782874104700016,0.11742501108928494,0.11742501108928487,0.11742501108928487,0.11742501108928487,0.11742501108928487,0.11742501108928487
0.02,altdataonly_gmm,2017-06-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7267950578199887,0.27320494218001135,0.0,0.0
0.02,altdataonly_gmm,2017-06-01,RSDR-CVaR,0.10258306766243715,0.10258306766243667,0.10258306766243708,0.07675239103806608,0.10258306766243716,0.10258306766243715,0.10258306766243715,0.10258306766243726,0.10258306766243715,0.10258306766243715
0.02,altdataonly_gmm,2017-07-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-07-01,DR-CVaR,0.11742501108928484,0.030134198517817193,0.11510784975248883,0.03278287410470003,0.11742501108928491,0.11742501108928484,0.11742501108928484,0.11742501108928484,0.11742501108928484,0.11742501108928484
0.02,altdataonly_gmm,2017-07-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6444902407181623,0.3555097592818377,0.0,0.0
0.02,altdataonly_gmm,2017-07-01,RSDR-CVaR,0.10833557858686794,0.10833557858686818,0.10833557858686735,0.02497979271819225,0.108335578586868,0.10833557858686631,0.10833557858686794,0.10833557858686683,0.10833557858686794,0.10833557858686794
0.02,altdataonly_gmm,2017-08-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-08-01,DR-CVaR,0.11742501108928498,0.030134198517817772,0.11510784975248797,0.03278287410469909,0.11742501108928498,0.11742501108928509,0.1174250110892888,0.11742501108928385,0.1174250110892844,0.11742501108928483
0.02,altdataonly_gmm,2017-08-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,altdataonly_gmm,2017-08-01,RSDR-CVaR,0.11184971445968032,0.11184971445968027,0.06298422011321803,0.042218064209339504,0.11184971445968028,0.11184971445968032,0.11184971445968032,0.11184971445968032,0.11184971445968032,0.11184971445968032
0.02,altdataonly_gmm,2017-09-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
