gamma,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,2015-06-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,2015-06-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2015-06-01,DR_CVaR_l1,0.11742501108928527,0.03013419851781529,0.11510784975249015,0.03278287410470018,0.11742501108928526,0.11742501108928524,0.11742501108928526,0.11742501108928455,0.1174250110892849,0.11742501108928478
0.02,2015-06-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.11111111111111116,0.0,0.11111111111111116,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2015-07-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,2015-07-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6702701622572137,0.0,0.3297298377427863,0.0
0.02,2015-07-01,DR_CVaR_l1,0.11742501108928424,0.030134198517816152,0.11510784975248996,0.03278287410469855,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928348,0.11742501108928505,0.11742501108928742
0.02,2015-07-01,RSDR_CVaR_l1,0.10985112406096045,0.10985112406096045,0.10230207529258943,0.018888932219724576,0.10985112406096062,0.10985112406096045,0.10985112406096412,0.10985112406096045,0.10985112406095962,0.10985112406096029
0.02,2015-08-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,2015-08-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2015-08-01,DR_CVaR_l1,0.11742501108928496,0.03013419851781858,0.11510784975248789,0.03278287410469898,0.11742501108928495,0.11742501108928495,0.11742501108928495,0.11742501108928495,0.11742501108928495,0.11742501108928495
0.02,2015-08-01,RSDR_CVaR_l1,0.10948595575626108,0.10948595575626108,0.10948595575626086,0.014626398193649703,0.10948595575626152,0.10948595575625976,0.10948595575626108,0.10948595575626122,0.10948595575626108,0.10948595575626023
0.02,2015-09-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2015-09-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7267950578199887,0.27320494218001135,0.0,0.0
0.02,2015-09-01,DR_CVaR_l1,0.11742501108928499,0.030134198517818178,0.11510784975248786,0.032782874104699045,0.11742501108928494,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499
0.02,2015-09-01,RSDR_CVaR_l1,0.10985112406096005,0.10985112406096013,0.10230207529259258,0.018888932219726453,0.10985112406096009,0.10985112406096019,0.10985112406096012,0.10985112406096012,0.10985112406096012,0.10985112406096012
0.02,2015-10-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2015-10-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7817057271804796,0.1459673187022619,0.07232695411725851,0.0
0.02,2015-10-01,DR_CVaR_l1,0.11742501108928492,0.030134198517818303,0.11510784975248788,0.03278287410469902,0.11742501108928495,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,2015-10-01,RSDR_CVaR_l1,0.12513002331247314,0.12513002331246859,0.0848216311869105,0.03926820562577148,0.0,0.12513002331247491,0.1251300233124796,0.1251300233124733,0.1251300233124708,0.12513002331247874
0.02,2015-11-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2015-11-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2015-11-01,DR_CVaR_l1,0.11742501108928492,0.030134198517818303,0.11510784975248788,0.03278287410469902,0.11742501108928495,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,2015-11-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2015-12-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2015-12-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6751136363636364,0.3248863636363636,0.0,0.0
0.02,2015-12-01,DR_CVaR_l1,0.11742501108928492,0.030134198517818303,0.11510784975248788,0.03278287410469902,0.11742501108928495,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498,0.11742501108928498
0.02,2015-12-01,RSDR_CVaR_l1,0.10948595575626156,0.10948595575626154,0.10948595575626147,0.014626398193646346,0.10948595575626156,0.10948595575626156,0.10948595575626156,0.10948595575625926,0.10948595575626156,0.10948595575626284
0.02,2016-01-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-01-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2016-01-01,DR_CVaR_l1,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,2016-01-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2016-02-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2016-02-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7817057271804796,0.1459673187022619,0.07232695411725851,0.0
0.02,2016-02-01,DR_CVaR_l1,0.1174250110892851,0.030134198517817637,0.11510784975248804,0.03278287410469917,0.1174250110892851,0.11742501108928484,0.117425011089285,0.11742501108928503,0.117425011089285,0.117425011089285
0.02,2016-02-01,RSDR_CVaR_l1,0.12536728769392239,0.0,0.12536728769392239,0.12242898614254324,0.0,0.12536728769392239,0.12536728769392239,0.12536728769392239,0.12536728769392239,0.12536728769392239
0.02,2016-03-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
