gamma,strategy,prev_regime_signal,n_months,ann_return,ann_vol,sharpe,tail5_avg_loss,worst_month,best_month,avg_max_weight,avg_effective_n_assets
0.06,DR_CVaR_l1,WOI,37,0.2453310041633383,0.16933819930612248,1.3902310553970316,0.09009821609709742,-0.0924058,0.10788168491696688,0.10222978594652066,9.842906673633864
0.06,RSDR_CVaR_l1,Crisis,9,0.220261518793335,0.2683412807047319,0.8715368649367652,0.1441794,-0.1441794,0.11295811111111112,0.10864197530864199,9.222222222222221
0.06,RSDR_CVaR_l1,Inflation,2,0.08715245719006792,0.006450241339671228,13.001653051988788,-0.005671999999999999,0.005671999999999999,0.008305300000000116,0.10000000000000256,9.999999999999988
0.06,RSDR_CVaR_l1,Steady_State,60,0.006782418238021393,0.10370607070654947,0.11684349737140792,0.07196029999999998,-0.08858780000000001,0.075378,0.10000000000000105,9.999999999999996
0.06,RSDR_CVaR_l1,WOI,37,0.24372873156622998,0.17299908501602843,1.3565393965327224,0.09017175000000009,-0.09240580000000018,0.12164229999999987,0.10166312850858103,9.878428734828276
0.06,RS_CVaR,Crisis,9,0.3731658584438926,0.1910955648858092,1.763929239192345,0.05843870280270379,-0.05843870280270379,0.12826101929212927,0.6278106803842366,1.9349257639802546
0.06,RS_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.06,RS_CVaR,Steady_State,60,0.01946047844068466,0.10198993915566605,0.23967526215871257,0.06295350382744827,-0.07044509424357026,0.058204603021215155,0.6294884753696537,2.173853716713631
0.06,RS_CVaR,WOI,37,0.19628507780718096,0.1537506496447874,1.249507324664939,0.09296604805406726,-0.09820407609758694,0.09469641084812526,0.5768538707713665,2.263442012143721
0.06,SAA_CVaR,Crisis,9,0.31720492471789585,0.1994956941068651,1.48854890591757,0.1080326998400499,-0.1080326998400499,0.07727226019828774,0.5257031027392116,2.4913150763311593
0.06,SAA_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.06,SAA_CVaR,Steady_State,60,0.030888817050706452,0.10204964063078896,0.34924632648141796,0.06942084491292035,-0.07588346080527578,0.06142789381439607,0.5594553679057246,2.2807084500167436
0.06,SAA_CVaR,WOI,37,0.19694357832664622,0.14624899418032306,1.309879103044452,0.08582569747401694,-0.08735668651864655,0.08297520717519348,0.5001324629881492,2.515453470495163
0.08,DR_CVaR_l1,Crisis,9,0.2792495989773156,0.27724674435014246,1.0242149725951142,0.1441794,-0.1441794,0.1324262,0.10000000000000014,10.000000000000016
0.08,DR_CVaR_l1,Inflation,2,0.08715245719006659,0.006450241339670819,13.00165305198946,-0.005672,0.005672,0.00830529999999995,0.10000000000000188,10.0000000000001
0.08,DR_CVaR_l1,Steady_State,60,0.006782418238021615,0.10370607070654944,0.11684349737141064,0.07196029999999998,-0.0885878,0.075378,0.10000000000000069,10.000000000000004
0.08,DR_CVaR_l1,WOI,37,0.24298932964270903,0.17211525813695283,1.3591359357942283,0.09017174999999994,-0.0924058,0.12164230000000001,0.10000000000000035,10.000000000000005
0.08,RSDR_CVaR_l1,Crisis,9,0.220261518793335,0.2683412807047319,0.8715368649367652,0.1441794,-0.1441794,0.11295811111111112,0.10864197530864199,9.222222222222221
0.08,RSDR_CVaR_l1,Inflation,2,0.08715245719006659,0.006450241339670808,13.001653051989477,-0.005671999999999999,0.005671999999999999,0.008305299999999944,0.10000000000000037,10.000000000000002
0.08,RSDR_CVaR_l1,Steady_State,60,0.006782418238021615,0.1037060707065494,0.1168434973714111,0.07196029999999987,-0.08858779999999958,0.075378,0.10000000000000095,10.0
0.08,RSDR_CVaR_l1,WOI,37,0.2424179111054583,0.17208184792334377,1.3566441612030438,0.09017175000000002,-0.09240580000000004,0.12164230000000004,0.1003003003003019,9.972972972972968
0.08,RS_CVaR,Crisis,9,0.3731658584438926,0.1910955648858092,1.763929239192345,0.05843870280270379,-0.05843870280270379,0.12826101929212927,0.6278106803842366,1.9349257639802546
0.08,RS_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.08,RS_CVaR,Steady_State,60,0.01946047844068466,0.10198993915566605,0.23967526215871257,0.06295350382744827,-0.07044509424357026,0.058204603021215155,0.6294884753696537,2.173853716713631
0.08,RS_CVaR,WOI,37,0.19628507780718096,0.1537506496447874,1.249507324664939,0.09296604805406726,-0.09820407609758694,0.09469641084812526,0.5768538707713665,2.263442012143721
0.08,SAA_CVaR,Crisis,9,0.31720492471789585,0.1994956941068651,1.48854890591757,0.1080326998400499,-0.1080326998400499,0.07727226019828774,0.5257031027392116,2.4913150763311593
0.08,SAA_CVaR,Inflation,2,-0.04455470900161618,0.08454378137530426,-0.516865333273807,0.02089890625264048,-0.02089890625264048,0.01361594796317806,0.5118493629941203,2.498686767599003
0.08,SAA_CVaR,Steady_State,60,0.030888817050706452,0.10204964063078896,0.34924632648141796,0.06942084491292035,-0.07588346080527578,0.06142789381439607,0.5594553679057246,2.2807084500167436
0.08,SAA_CVaR,WOI,37,0.19694357832664622,0.14624899418032306,1.309879103044452,0.08582569747401694,-0.08735668651864655,0.08297520717519348,0.5001324629881492,2.515453470495163
0.1,DR_CVaR_l1,Crisis,9,0.2792495989773156,0.27724674435014246,1.0242149725951142,0.1441794,-0.1441794,0.1324262,0.10000000000000014,10.000000000000016
0.1,DR_CVaR_l1,Inflation,2,0.08715245719006659,0.006450241339670819,13.00165305198946,-0.005672,0.005672,0.00830529999999995,0.10000000000000188,10.0000000000001
0.1,DR_CVaR_l1,Steady_State,60,0.006782418238021615,0.10370607070654944,0.11684349737141064,0.07196029999999998,-0.0885878,0.075378,0.10000000000000069,10.000000000000004
0.1,DR_CVaR_l1,WOI,37,0.24298932964270903,0.17211525813695283,1.3591359357942283,0.09017174999999994,-0.0924058,0.12164230000000001,0.10000000000000035,10.000000000000005
0.1,RSDR_CVaR_l1,Crisis,9,0.220261518793335,0.26834128070473184,0.871536864936765,0.1441794,-0.1441794,0.11295811111111112,0.10864197530864199,9.222222222222221
0.1,RSDR_CVaR_l1,Inflation,2,0.08715245719006659,0.006450241339670982,13.00165305198919,-0.005671999999999999,0.005671999999999999,0.008305300000000015,0.1000000000000001,10.000000000000007
0.1,RSDR_CVaR_l1,Steady_State,60,0.006782418238021615,0.10370607070654946,0.11684349737141167,0.07196029999999996,-0.08858780000000001,0.07537800000000015,0.1000000000000008,9.999999999999996
