gamma,rebalance_month,strategy,var_v,objective,theta_used,max_weight,herfindahl,effective_n_assets,solver,dual_norm,prev_month,prev_hard_regime
0.1,2016-03-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000024,0.1,10.0,linprog-highs,0.1,2016-02-01,WOI
0.1,2016-03-01,RSDR_CVaR_l1,0.07577529999999999,0.23645945932800624,0.06866626674533075,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-02-01,WOI
0.1,2016-04-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-03-01,Steady_State
0.1,2016-04-01,RS_CVaR,0.049206117613636365,0.0604568486532778,0.0,0.6751136363636364,0.5613295712809918,1.781484623583847,linprog-highs,0.6751136363636364,2016-03-01,Steady_State
0.1,2016-04-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000024,0.1,10.0,linprog-highs,0.1,2016-03-01,Steady_State
0.1,2016-04-01,RSDR_CVaR_l1,0.07186180000000003,0.22168206078932756,0.06801618245202923,0.10000000000000027,0.10000000000000003,9.999999999999996,linprog-highs,0.09999999999999999,2016-03-01,Steady_State
0.1,2016-05-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-04-01,WOI
0.1,2016-05-01,RS_CVaR,0.049206117613636365,0.0691447555294138,0.0,0.6751136363636364,0.5613295712809918,1.781484623583847,linprog-highs,0.6751136363636364,2016-04-01,WOI
0.1,2016-05-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000024,0.1,10.0,linprog-highs,0.1,2016-04-01,WOI
0.1,2016-05-01,RSDR_CVaR_l1,0.07186180000000005,0.23223983814802607,0.06845934156230606,0.10000000000000214,0.09999999999999978,10.000000000000021,linprog-highs,0.09999999999999995,2016-04-01,WOI
0.1,2016-06-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-05-01,Steady_State
0.1,2016-06-01,RS_CVaR,0.046378272872005626,0.05704543669701051,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2016-05-01,Steady_State
0.1,2016-06-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000024,0.1,10.0,linprog-highs,0.1,2016-05-01,Steady_State
0.1,2016-06-01,RSDR_CVaR_l1,0.0579398000000001,0.2174913749809568,0.0678855808006017,0.10000000000000134,0.10000000000000023,9.999999999999977,linprog-highs,0.10000000000000007,2016-05-01,Steady_State
0.1,2016-07-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-06-01,Steady_State
0.1,2016-07-01,RS_CVaR,0.049206117613636365,0.061282674419747406,0.0,0.6751136363636364,0.5613295712809918,1.781484623583847,linprog-highs,0.6751136363636364,2016-06-01,Steady_State
0.1,2016-07-01,DR_CVaR_l1,0.07577530000000002,0.22598997325082704,0.06195578662541357,0.10000000000000028,0.1,10.0,linprog-highs,0.10000000000000002,2016-06-01,Steady_State
0.1,2016-07-01,RSDR_CVaR_l1,0.07186179999999992,0.22267838327616557,0.06805935002492358,0.10000000000000195,0.09999999999999992,10.000000000000007,linprog-highs,0.09999999999999977,2016-06-01,Steady_State
0.1,2016-08-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-07-01,Steady_State
0.1,2016-08-01,RS_CVaR,0.04702250493628684,0.058591369890053716,0.0,0.6444902407181623,0.541754859325585,1.8458533094559986,linprog-highs,0.6444902407181623,2016-07-01,Steady_State
0.1,2016-08-01,DR_CVaR_l1,0.07577530000000002,0.22598997325082704,0.06195578662541357,0.10000000000000028,0.1,10.0,linprog-highs,0.10000000000000002,2016-07-01,Steady_State
0.1,2016-08-01,RSDR_CVaR_l1,0.05793980000000001,0.2193725874684987,0.0679198808570202,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-07-01,Steady_State
0.1,2016-09-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-08-01,Steady_State
0.1,2016-09-01,RS_CVaR,0.046378272872005626,0.057310483616558314,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2016-08-01,Steady_State
0.1,2016-09-01,DR_CVaR_l1,0.07577530000000002,0.22598997325082704,0.06195578662541357,0.10000000000000028,0.1,10.0,linprog-highs,0.10000000000000002,2016-08-01,Steady_State
0.1,2016-09-01,RSDR_CVaR_l1,0.0579398,0.2176727167908947,0.06785936931128954,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-08-01,Steady_State
0.1,2016-10-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-09-01,Steady_State
0.1,2016-10-01,RS_CVaR,0.046378272872005626,0.058247757130369275,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2016-09-01,Steady_State
0.1,2016-10-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-09-01,Steady_State
0.1,2016-10-01,RSDR_CVaR_l1,0.0579398,0.21891271039730753,0.06790351232291833,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-09-01,Steady_State
0.1,2016-11-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-10-01,Steady_State
0.1,2016-11-01,RS_CVaR,0.04703974430210485,0.0591646219696962,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-10-01,Steady_State
0.1,2016-11-01,DR_CVaR_l1,0.07577529999999999,0.225989973250827,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-10-01,Steady_State
0.1,2016-11-01,RSDR_CVaR_l1,0.06810920000000086,0.2200726196052345,0.0679487076007069,0.10000000000000078,0.09999999999999928,10.000000000000071,linprog-highs,0.09999999999999966,2016-10-01,Steady_State
0.1,2016-12-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-11-01,Crisis
0.1,2016-12-01,RS_CVaR,0.11669561571851605,0.11669561571851605,0.0,0.8327171733892474,0.7214014349362612,1.3861907553432495,linprog-highs,0.8327171733892474,2016-11-01,Crisis
0.1,2016-12-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-11-01,Crisis
0.1,2016-12-01,RSDR_CVaR_l1,0.11176979999999997,0.3127939042419911,0.07388246078094912,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-11-01,Crisis
0.1,2017-01-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2016-12-01,Steady_State
0.1,2017-01-01,RS_CVaR,0.046378272872005626,0.05733821345508844,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2016-12-01,Steady_State
0.1,2017-01-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000002,0.1,10.0,linprog-highs,0.10000000000000002,2016-12-01,Steady_State
0.1,2017-01-01,RSDR_CVaR_l1,0.05793979999999999,0.21777366274374277,0.06792937406054507,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2016-12-01,Steady_State
0.1,2017-02-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-01-01,Steady_State
0.1,2017-02-01,RS_CVaR,0.046378272872005626,0.05748749979783017,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-01-01,Steady_State
0.1,2017-02-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000002,0.1,10.0,linprog-highs,0.10000000000000002,2017-01-01,Steady_State
0.1,2017-02-01,RSDR_CVaR_l1,0.05793979999999995,0.21796324835708378,0.06793614591991577,0.100000000000001,0.10000000000000003,9.999999999999996,linprog-highs,0.10000000000000007,2017-01-01,Steady_State
0.1,2017-03-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-02-01,Steady_State
0.1,2017-03-01,RS_CVaR,0.046378272872005626,0.05750231609647599,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-02-01,Steady_State
0.1,2017-03-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000002,0.1,10.0,linprog-highs,0.10000000000000002,2017-02-01,Steady_State
0.1,2017-03-01,RSDR_CVaR_l1,0.05793980000000003,0.2178239730940262,0.06789961108142972,0.1000000000000012,0.09999999999999998,10.000000000000002,linprog-highs,0.1000000000000001,2017-02-01,Steady_State
0.1,2017-04-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-03-01,Steady_State
0.1,2017-04-01,RS_CVaR,0.046378272872005626,0.057469201512863735,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-03-01,Steady_State
0.1,2017-04-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000002,0.1,10.0,linprog-highs,0.10000000000000002,2017-03-01,Steady_State
0.1,2017-04-01,RSDR_CVaR_l1,0.05793980000000003,0.2177817181228597,0.06789798458342716,0.10000000000000056,0.10000000000000005,9.999999999999995,linprog-highs,0.1000000000000001,2017-03-01,Steady_State
0.1,2017-05-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-04-01,Steady_State
0.1,2017-05-01,RS_CVaR,0.046378272872005626,0.057398432887319384,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-04-01,Steady_State
0.1,2017-05-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.10000000000000002,0.1,10.0,linprog-highs,0.10000000000000002,2017-04-01,Steady_State
0.1,2017-05-01,RSDR_CVaR_l1,0.05793980000000003,0.21769141811382114,0.06789450869063762,0.10000000000000056,0.10000000000000005,9.999999999999995,linprog-highs,0.1000000000000001,2017-04-01,Steady_State
0.1,2017-06-01,SAA_CVaR,0.04703974430210485,0.07222332707529935,0.0,0.6443128499623921,0.5416523973285358,1.8462024813922433,linprog-highs,0.6443128499623921,2017-05-01,Steady_State
0.1,2017-06-01,RS_CVaR,0.046378272872005626,0.057377795706191,0.0,0.7875893220778258,0.6654152363463668,1.5028210136737428,linprog-highs,0.7875893220778258,2017-05-01,Steady_State
0.1,2017-06-01,DR_CVaR_l1,0.0757753,0.22598997325082704,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2017-05-01,Steady_State
0.1,2017-06-01,RSDR_CVaR_l1,0.05793980000000009,0.21766508583754618,0.06789349508452415,0.10000000000000059,0.09999999999999995,10.000000000000005,linprog-highs,0.09999999999999996,2017-05-01,Steady_State
