date,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1980-09-01,0,0,3.619242300085267e-17,0.999629785247181,2.2024281723597992e-13,1.0943480880949232e-07,1.7925358810991704e-54,0.00037010531778890014,3.619242300085267e-17
1980-10-01,0,0,2.6281988184403565e-16,0.9999373057234564,2.86853042077956e-20,1.509716657207382e-08,6.73941560271851e-71,6.267917939036412e-05,2.6281988184403565e-16
1980-11-01,0,0,1.4332587613070556e-18,0.9999997766273873,2.1778998795276907e-28,2.2013104855686145e-07,1.8613653552110253e-91,3.241542897800826e-09,1.4332587613070556e-18
1980-12-01,0,0,1.13932335873418e-17,0.9896614846650009,8.923742894737866e-41,0.010338504063785899,1.0010500995008485e-80,1.1271215241381316e-08,1.13932335873418e-17
1981-01-01,0,0,6.296138179232228e-07,0.9983912125432488,3.931762898020448e-23,0.0007548703443800555,7.816961444205284e-42,0.0008532874985725198,6.296138179232228e-07
1981-02-01,0,0,7.046956313834824e-10,0.9999678324444384,8.725208372980253e-20,2.568800415941624e-05,1.0181751301503468e-33,6.4788466795357654e-06,7.046956313834824e-10
1981-03-01,0,0,5.061985083249954e-20,0.9983710073364911,1.1364547652299228e-34,0.001628992428390131,3.396271321583624e-101,2.3509589981089496e-10,5.061985083249954e-20
1981-04-01,0,0,5.419831920350307e-22,0.9999999992462563,1.4207945228749873e-54,7.537957700990996e-10,5.03281933752722e-111,2.0201639882883867e-21,5.419831920350307e-22
1981-05-01,0,0,6.191312108969387e-15,0.9990837586614029,5.216435626227358e-32,0.000626661976316797,3.7056414701547875e-46,0.0002895793622303451,6.191312108969387e-15
1981-06-01,0,0,1.3882755381282783e-12,0.9993217330255054,6.089710761357187e-32,0.000678263760459544,4.860305685306375e-56,3.21265311156981e-09,1.3882755381282783e-12
1981-07-01,0,0,2.2392719052406006e-13,0.9999961928295702,1.7049956571151918e-33,8.39636372297275e-08,5.2062479269527934e-67,3.723206591145069e-06,2.2392719052406006e-13
1981-08-01,0,0,1.5844194687502792e-16,0.9999966392241134,1.082206886000182e-33,2.675819877235959e-06,1.521561337330372e-63,6.849560630977637e-07,1.5844194687502792e-16
1981-09-01,0,0,2.037116684052565e-16,0.9919914178894483,8.006264931449919e-39,0.008008581641963658,7.818281218507262e-72,4.685340745576512e-10,2.037116684052565e-16
1981-10-01,0,0,3.101062194934538e-20,0.9997941035258642,1.0978907301273851e-38,0.00020582453424177318,1.1886279188735287e-142,7.193988916746061e-08,3.101062194934538e-20
1981-11-01,0,0,1.395175779904807e-16,0.9909099985624207,1.0525060450036066e-32,0.009089998497443973,6.878545632521542e-96,2.940171217692811e-09,1.395175779904807e-16
1981-12-01,0,0,1.5619245640803812e-10,0.9994987197438749,2.1072068066587153e-23,1.808346506123413e-08,7.389188572458143e-66,0.0005012620164246592,1.5619245640803812e-10
1982-01-01,0,0,1.6211731464342946e-15,0.9999964204505833,7.765088007027234e-19,5.069752892364109e-07,2.06365022603987e-47,3.0725741246927973e-06,1.6211731464342946e-15
1982-02-01,0,0,2.07104626036528e-11,0.9992093015068855,9.484049268340774e-19,0.00028693183273838463,1.0142198370711067e-37,0.0005037666396227672,2.07104626036528e-11
1982-03-01,0,0,1.4131929994521304e-08,0.9991659127657692,1.725325029432101e-16,0.00019816780272294396,1.930466067877412e-33,0.0006359052995460722,1.4131929994521304e-08
1982-04-01,0,0,5.167075970331377e-10,0.9959723092277577,1.9345987230055463e-16,0.0029820681583383473,2.1786041921324617e-41,0.0010456220972437323,5.167075970331377e-10
1982-05-01,0,0,1.5937006996361905e-08,0.992968467578016,1.0883308175493337e-16,0.006248901933013277,3.3652699892422414e-43,0.0007826145519145425,1.5937006996361905e-08
1982-06-01,0,0,2.025669347449868e-12,0.9999888860080834,2.0221222214068535e-23,1.1640746669305157e-08,1.8240466892071566e-66,1.1102349167717529e-05,2.025669347449868e-12
1982-07-01,0,0,2.0673044715173515e-19,0.9972390936663359,9.375425058736597e-26,0.002759425819157819,3.460286035651463e-84,1.4805145283924075e-06,2.0673044715173515e-19
1982-08-01,2,0,1.88144824098114e-10,0.013504012654951094,1.461393032556926e-21,0.9864959590058151,2.711094811095622e-82,2.815107203765829e-08,1.88144824098114e-10
1982-09-01,2,0,0.01306607140286046,0.0003915755618961615,7.108231065011517e-17,0.9865340275276142,6.047191791363232e-28,8.325507598514593e-06,0.01306607140286046
1982-10-01,2,0,0.0012274839361544618,7.937080812317638e-06,4.024256963693143e-11,0.9986804667695096,2.0936193978881167e-23,8.411217332480108e-05,0.0012274839361544618
1982-11-01,4,0,0.15566670501329638,8.552643963650136e-07,3.996266821967821e-05,0.002115301773583867,1.6948461525457732e-09,0.8421771735856761,0.15566670501329638
1982-12-01,4,0,0.0005861061384710921,0.0007542803510442157,0.0012632854620563427,6.914565018378103e-05,4.856291951922723e-14,0.9973271823981535,0.0005861061384710921
1983-01-01,4,0,3.214717546786161e-05,0.005888894946137735,8.687141294895176e-05,1.653532289549047e-06,5.5623321164775375e-14,0.9939904329330441,3.214717546786161e-05
1983-02-01,4,0,2.819826978555088e-05,0.026502137138748574,0.0017756285051565971,0.0001974627544644352,7.976669897553524e-11,0.971496573252116,2.819826978555088e-05
1983-03-01,4,0,9.749453267254455e-07,0.004262557846302563,0.00018154856850974884,1.456990762463357e-07,5.644167765347706e-21,0.9955547729407425,9.749453267254455e-07
1983-04-01,4,0,1.7212429133960044e-08,0.0012946866130172424,0.00038227777334971113,6.9372300601481524e-06,2.2896550374332075e-21,0.9983160811710937,1.7212429133960044e-08
1983-05-01,4,0,1.2016063380610035e-08,0.0030119097649043258,9.513248205668397e-06,3.909167920467148e-09,5.405155849677668e-26,0.996978561061686,1.2016063380610035e-08
1983-06-01,4,0,4.285261098545139e-09,0.0004742320880464433,0.009667951503375308,4.614402982243184e-08,3.941606566572136e-15,0.989857765979267,4.285261098545139e-09
1983-07-01,4,0,7.761264836815626e-07,0.04531322999394497,4.0424749149979765e-07,1.3237109871151448e-07,3.386551298920934e-28,0.9546854572609447,7.761264836815626e-07
1983-08-01,4,0,1.9228268486971842e-09,0.002631498466486324,1.9741993215769865e-05,1.2322809705105434e-06,2.9520605225847664e-18,0.9973475253365419,1.9228268486971842e-09
1983-09-01,4,0,1.7855493302537373e-09,0.0019279719808943444,0.00010815683982844375,2.0985699347286123e-06,1.2246623788444142e-26,0.9979617708238088,1.7855493302537373e-09
1983-10-01,4,0,2.174918782082816e-08,0.006491243734931036,3.1245939106932446e-06,8.755447631775817e-07,2.589243892680555e-22,0.9935047343771868,2.174918782082816e-08
1983-11-01,4,0,3.2855676541460566e-09,0.0006775837113244364,0.0004946686479052625,8.855377884624758e-08,8.094443231525713e-18,0.9988276558014615,3.2855676541460566e-09
1983-12-01,4,0,4.8623627524248453e-08,0.0009220820790712688,0.0002328739852114675,1.4426961792130027e-08,7.880275661625392e-19,0.998844980885111,4.8623627524248453e-08
1984-01-01,4,0,7.819775764656704e-09,0.0011140367818155388,1.8859786955936807e-05,8.355939858555608e-08,3.4580066410918934e-20,0.998867012052041,7.819775764656704e-09
1984-02-01,4,0,1.2529610637696893e-09,0.0048448896281647735,1.4831792780421742e-06,3.674583864260816e-08,3.267129432092397e-23,0.9951535891938091,1.2529610637696893e-09
1984-03-01,4,0,4.234986175192694e-11,0.002629444322526692,5.182092021830364e-06,1.6585398672205175e-08,8.136991225134695e-27,0.9973653569577028,4.234986175192694e-11
1984-04-01,4,0,1.6792598061492354e-09,0.00978741228162546,1.726263680370776e-05,3.579686336062032e-07,9.7220702320609e-23,0.9901949654336683,1.6792598061492354e-09
1984-05-01,0,0,8.064770635106689e-10,0.9876019340057679,1.5681456490501448e-11,5.269606950196388e-06,9.262864575753577e-35,0.012392795565073689,8.064770635106689e-10
1984-06-01,0,0,1.1138307123164433e-06,0.3091679448860013,0.00018080605476830265,0.0004713495321190844,9.983370229632147e-17,0.6901787856964434,1.1138307123164433e-06
