,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2011-07-01,2,0,1.19537199245374e-10,1.7202066242663507e-34,7.732466269704458e-06,0.9999922674140832,1.19537199245374e-10,5.857644973527172e-29,2.059869510444452e-17
2011-08-01,2,0,1.0375733518982008e-09,2.7167813197092747e-36,1.3997452513803596e-07,0.9999998589878587,1.0375733518982008e-09,3.5946566059258645e-28,7.408588431504317e-19
2011-09-01,2,0,4.214042865256519e-12,1.913665497913386e-36,2.5008884974291077e-11,0.9999999999708962,4.214042865256519e-12,1.5923104241081868e-30,1.8252306825333916e-25
2011-10-01,2,0,2.819261153248591e-13,2.551222532144122e-38,2.0112448639710918e-09,0.9999999979886525,2.819261153248591e-13,1.0066220865234951e-39,6.676713585284381e-28
2011-11-01,2,0,1.5861923874747995e-13,4.8793810336527764e-45,2.3770528159150923e-05,0.9999762294716109,1.5861923874747995e-13,3.721658018222758e-38,1.4953133750591726e-19
2011-12-01,2,0,1.358412081531412e-09,7.30288073413559e-45,2.198507642606418e-05,0.999978013565176,1.358412081531412e-09,4.572082817942613e-30,1.1497448546372373e-15
2012-01-01,2,0,3.76196168175158e-09,1.927771946026533e-36,4.735778207536412e-05,0.9999526384560385,3.76196168175158e-09,4.5787007182825936e-27,2.1293143109808305e-15
2012-02-01,2,0,1.0006578510852202e-08,2.7758642287129306e-33,0.00013764147678424013,0.9998623485163909,1.0006578510852202e-08,1.18280651589163e-25,9.750685254372979e-14
2012-03-01,2,0,1.4931979066067323e-08,7.075483727290757e-32,6.501273481287595e-05,0.9999349723332641,1.4931979066067323e-08,1.8360433283422603e-24,4.4185511476123934e-14
2012-04-01,2,0,3.743421657401333e-09,3.108916827964163e-31,1.9484977486663977e-05,0.9999805112791414,3.743421657401333e-09,1.3930046027167892e-24,3.4805602908716004e-15
2012-05-01,2,0,6.644381917437147e-10,1.0656635363351146e-32,5.999935451027075e-11,0.9999999992755875,6.644381917437147e-10,5.974432263200042e-27,1.0356835647071615e-22
2012-06-01,2,0,1.454132655236227e-12,1.670478442646824e-33,5.6679093162396794e-05,0.9999433209051569,1.454132655236227e-12,9.731047078708834e-34,8.146141165682776e-21
