,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2007-03-01,5,0,2.669657819386961e-06,2.669657819386961e-06,0.0027103374218569757,1.3007051428372103e-08,8.897802693200946e-07,0.00022913085728240562,0.9970569592760818
2007-04-01,5,0,2.7715015693559048e-06,2.7715015693559048e-06,0.003933147229916726,1.7661151691980391e-07,4.054437256643334e-07,0.00034821407911226,0.9957152851346098
2007-05-01,5,0,1.1823301641221739e-05,1.1823301641221739e-05,0.015004671251122408,2.0605069405795016e-06,8.815778722610732e-07,0.002403582085392033,0.9825769812772985
2007-06-01,5,0,8.477336603460347e-08,8.477336603460347e-08,0.0019460580866439397,2.2427785213752584e-07,5.468126482526971e-06,0.0001892075940162202,0.997858957141966
2007-07-01,5,0,3.5482755233896164e-07,3.5482755233896164e-07,0.01064443192493354,6.394783713155564e-06,2.889106424966913e-08,0.0161233722229892,0.9732254173495147
2007-08-01,5,0,0.0003207873477738598,0.0003207873477738598,0.01122914013343449,6.819407190092521e-05,8.050566341075117e-06,0.2519933228439723,0.7363805050366778
2007-09-01,5,0,3.0456145428035734e-05,3.0456145428035734e-05,0.005110525234996509,6.513290546575675e-05,1.4773385578007666e-05,0.12898689990508289,0.8657922124230413
2007-10-01,5,0,1.799625702360774e-08,1.799625702360774e-08,0.0012375378919788258,2.7489140868499594e-07,6.925097140478372e-05,0.0007219519506688469,0.997970966298192
2007-11-01,5,0,5.437952104177534e-06,5.437952104177534e-06,0.005756664549227578,2.3944707228732788e-05,1.1746912388774365e-07,0.1535182382707518,0.8406955970517686
2007-12-01,5,0,0.00019145148879094227,0.00019145148879094227,0.0007528821047866566,3.540771124834737e-05,0.0007324629431301777,0.056786838988897255,0.9415009567634262
2008-01-01,4,0,0.00037336894325601985,0.00037336894325601985,1.6072450605869308e-08,6.4047249851232e-05,2.7715104125835533e-10,0.9994988161876682,6.375127005620217e-05
2008-02-01,4,0,3.0266784165253036e-07,3.0266784165253036e-07,1.863320517141066e-08,1.7238473495606046e-06,0.0008706851328087378,0.911078799938547,0.08804846978058709
2008-03-01,3,0,5.967382300712391e-10,5.967382300712391e-10,4.404939307397813e-07,3.6683539463702637e-09,0.4874390149090125,0.12226177491884956,0.390298765412832
2008-04-01,5,0,3.7447849444346895e-10,3.7447849444346895e-10,0.00024721702267289675,1.0006217041319573e-09,0.0005235730323811144,0.25386983412534553,0.7453593744443396
2008-05-01,5,0,4.650782717385258e-09,4.650782717385258e-09,8.253326481626339e-05,2.5154528663621387e-08,0.00016534772401748918,0.001322230151565897,0.9984298590541653
2008-06-01,4,0,2.9697443631180024e-08,2.9697443631180024e-08,9.770756042054431e-07,7.920706320206898e-08,0.0014991675546186952,0.7274517775338336,0.2710479689317177
2008-07-01,4,0,7.98074043283898e-11,7.98074043283898e-11,7.699812859011215e-12,4.3981420716179204e-10,0.35293180400911617,0.6389490928457354,0.00811910261820489
2008-08-01,3,0,1.042933013010132e-15,1.042933013010132e-15,5.354062376019341e-11,1.977130838173457e-13,0.9854536871600258,0.005726947186017429,0.008819365600193042
2008-09-01,3,0,6.010232958424346e-17,6.010232958424346e-17,2.6465119613406038e-15,7.081225799449415e-17,0.8280978110712928,0.17190215365944406,3.526940684567617e-08
2008-10-01,4,0,1.6954402536994487e-21,1.6954402536994487e-21,2.6897021265827147e-31,2.3839200302206616e-19,0.005549272114804793,0.9944507278855035,2.663475408615511e-16
