date,state,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
1979-02-01,4,2.5995837066836163e-11,1.34590677413306e-08,0.00731251418471279,0.002609519196757932,0.9900779531334911,4.358636552506082e-23
1979-03-01,4,1.0934308748676578e-09,1.2707860118472883e-06,0.0014002016036973976,0.0011865899775952112,0.997411936539267,4.1488864745086155e-24
1979-04-01,4,1.1665174276590797e-10,7.272972355586477e-08,0.0023587001238317105,0.0003717963349662202,0.9972694306948544,1.526646764111743e-23
1979-05-01,4,9.97062390394064e-10,5.94373211796022e-07,0.03605699730275291,0.0008114372489336517,0.9631309700780425,5.651813092064676e-24
1979-06-01,4,2.8427309229537802e-11,2.7143747950197494e-08,0.0011171073114152514,1.5129872588141407e-05,0.9988677356437985,2.5586467044182144e-32
1979-07-01,4,4.150218540925338e-11,1.4405006839231993e-08,0.01782628266912667,0.005908361414750909,0.976265341469641,1.0931526162587435e-22
1979-08-01,4,2.1141347923125317e-10,6.426938103643059e-08,0.0009494670349778431,2.0184642898211965e-06,0.9990484500199388,3.364293843071194e-35
1979-09-01,4,8.423759825512665e-14,7.789798676085074e-11,0.004704312339332197,6.670095820140816e-05,0.9952289866244984,1.8789824299548952e-27
1979-10-01,2,2.313237144957544e-17,2.259218915583279e-16,0.9999994421954589,6.232355485452456e-25,5.578045153640041e-07,4.626080531250233e-99
1979-11-01,4,9.595230631486849e-24,3.378435545109511e-20,0.033824352561977925,6.145351311134422e-16,0.9661756474380258,3.3583291516011114e-54
1979-12-01,4,9.107649867918462e-26,1.6344107177414178e-22,0.007332664955373353,1.6407337135193626e-08,0.992667318637287,4.7986559444061204e-48
1980-01-01,4,1.0513419011738498e-16,8.228438393112018e-14,0.0019145302746700948,1.7455816240720811e-06,0.9980837241436372,8.545222932060752e-46
1980-02-01,2,2.8457867977287713e-21,5.461160253947003e-20,0.9986373707860746,2.2393547770741522e-23,0.0013626292139190719,8.235217854214349e-103
