gamma,regime_source,month,strategy,return,predicted_state
0.02,altdata_bnmeanrank_hmm,2011-12-01,RS-CVaR,0.02944008455328546,3
0.02,altdata_bnmeanrank_hmm,2011-12-01,RSDR-CVaR,0.007687666666666624,3
0.02,altdata_bnmeanrank_hmm,2012-01-01,SAA-CVaR,0.0010610103908560446,3
0.02,altdata_bnmeanrank_hmm,2012-01-01,DR-CVaR,0.04333493976315613,3
0.02,altdata_bnmeanrank_hmm,2012-01-01,RS-CVaR,-0.016234263560578492,3
0.02,altdata_bnmeanrank_hmm,2012-01-01,RSDR-CVaR,0.043586700000000006,3
0.02,altdata_bnmeanrank_hmm,2012-02-01,SAA-CVaR,0.028611753856606185,3
0.02,altdata_bnmeanrank_hmm,2012-02-01,DR-CVaR,0.034426663699080366,3
0.02,altdata_bnmeanrank_hmm,2012-02-01,RS-CVaR,0.030920298783863563,3
0.02,altdata_bnmeanrank_hmm,2012-02-01,RSDR-CVaR,0.0345314,3
0.02,altdata_bnmeanrank_hmm,2012-03-01,SAA-CVaR,0.035471498781072655,3
0.02,altdata_bnmeanrank_hmm,2012-03-01,DR-CVaR,0.02597727607884085,3
0.02,altdata_bnmeanrank_hmm,2012-03-01,RS-CVaR,0.02141316731675034,3
0.02,altdata_bnmeanrank_hmm,2012-03-01,RSDR-CVaR,0.026293599999999997,3
0.02,altdata_bnmeanrank_hmm,2012-04-01,SAA-CVaR,0.0010898210175045962,3
0.02,altdata_bnmeanrank_hmm,2012-04-01,DR-CVaR,-0.003645330997299167,3
0.02,altdata_bnmeanrank_hmm,2012-04-01,RS-CVaR,0.004335097739888327,3
0.02,altdata_bnmeanrank_hmm,2012-04-01,RSDR-CVaR,-0.0037748999999999986,3
0.02,altdata_bnmeanrank_hmm,2012-05-01,SAA-CVaR,-0.019799186435936374,3
0.02,altdata_bnmeanrank_hmm,2012-05-01,DR-CVaR,-0.05582056161974222,3
0.02,altdata_bnmeanrank_hmm,2012-05-01,RS-CVaR,-0.026858364668628995,3
0.02,altdata_bnmeanrank_hmm,2012-05-01,RSDR-CVaR,-0.0560616,3
0.02,altdata_bnmeanrank_hmm,2012-06-01,SAA-CVaR,0.04304902383902166,3
0.02,altdata_bnmeanrank_hmm,2012-06-01,DR-CVaR,0.04056091232253099,3
0.02,altdata_bnmeanrank_hmm,2012-06-01,RS-CVaR,0.03788760210668027,3
0.02,altdata_bnmeanrank_hmm,2012-06-01,RSDR-CVaR,0.03963877777777779,3
0.02,altdata_bnmeanrank_hmm,2012-07-01,SAA-CVaR,0.019859998987386357,3
0.02,altdata_bnmeanrank_hmm,2012-07-01,DR-CVaR,0.01279802593694834,3
0.02,altdata_bnmeanrank_hmm,2012-07-01,RS-CVaR,0.025849343054564718,3
0.02,altdata_bnmeanrank_hmm,2012-07-01,RSDR-CVaR,0.012467831255571903,3
0.02,altdata_bnmeanrank_hmm,2012-08-01,SAA-CVaR,0.0007334438990027943,3
0.02,altdata_bnmeanrank_hmm,2012-08-01,DR-CVaR,0.0160168867028166,3
0.02,altdata_bnmeanrank_hmm,2012-08-01,RS-CVaR,-0.005131052615620595,3
0.02,altdata_bnmeanrank_hmm,2012-08-01,RSDR-CVaR,0.016044666666666665,3
0.02,altdata_bnmeanrank_hmm,2012-09-01,SAA-CVaR,0.024351791621722765,3
0.02,altdata_bnmeanrank_hmm,2012-09-01,DR-CVaR,0.02342803906873618,3
0.02,altdata_bnmeanrank_hmm,2012-09-01,RS-CVaR,0.021624742072442915,3
0.02,altdata_bnmeanrank_hmm,2012-09-01,RSDR-CVaR,0.024336111111111107,3
0.02,altdata_bnmeanrank_hmm,2012-10-01,SAA-CVaR,-0.00598462725020266,3
0.02,altdata_bnmeanrank_hmm,2012-10-01,DR-CVaR,-0.013900939258140125,3
0.02,altdata_bnmeanrank_hmm,2012-10-01,RS-CVaR,-0.008632494913952956,3
0.02,altdata_bnmeanrank_hmm,2012-10-01,RSDR-CVaR,-0.015541333333333334,3
0.02,altdata_bnmeanrank_hmm,2012-11-01,SAA-CVaR,0.007375193588235158,3
0.02,altdata_bnmeanrank_hmm,2012-11-01,DR-CVaR,0.00412997462877549,3
0.02,altdata_bnmeanrank_hmm,2012-11-01,RS-CVaR,-0.0023318310959703336,3
0.02,altdata_bnmeanrank_hmm,2012-11-01,RSDR-CVaR,0.005688333333333332,3
0.02,altdata_bnmeanrank_hmm,2012-12-01,SAA-CVaR,-0.012532166049615769,3
0.02,altdata_bnmeanrank_hmm,2012-12-01,DR-CVaR,0.005297746874727201,3
0.02,altdata_bnmeanrank_hmm,2012-12-01,RS-CVaR,-0.00854327334990346,3
0.02,altdata_bnmeanrank_hmm,2012-12-01,RSDR-CVaR,0.006222555555555556,3
0.02,altdata_bnmeanrank_hmm,2013-01-01,SAA-CVaR,0.06219535769663098,3
0.02,altdata_bnmeanrank_hmm,2013-01-01,DR-CVaR,0.05551882627732832,3
0.02,altdata_bnmeanrank_hmm,2013-01-01,RS-CVaR,0.0586807855351516,3
0.02,altdata_bnmeanrank_hmm,2013-01-01,RSDR-CVaR,0.054098333333333345,3
0.02,altdata_bnmeanrank_hmm,2013-02-01,SAA-CVaR,0.025003593657107,3
0.02,altdata_bnmeanrank_hmm,2013-02-01,DR-CVaR,0.015483058822487437,3
0.02,altdata_bnmeanrank_hmm,2013-02-01,RS-CVaR,0.027393764097916426,3
0.02,altdata_bnmeanrank_hmm,2013-02-01,RSDR-CVaR,0.013163444444444443,3
0.02,altdata_bnmeanrank_hmm,2013-03-01,SAA-CVaR,0.05446353607836784,3
0.02,altdata_bnmeanrank_hmm,2013-03-01,DR-CVaR,0.03975409722536476,3
0.02,altdata_bnmeanrank_hmm,2013-03-01,RS-CVaR,0.05086369790859799,3
0.02,altdata_bnmeanrank_hmm,2013-03-01,RSDR-CVaR,0.03830433333333333,3
0.02,altdata_bnmeanrank_hmm,2013-04-01,SAA-CVaR,0.03238736691090823,3
0.02,altdata_bnmeanrank_hmm,2013-04-01,DR-CVaR,0.020490013029437027,3
0.02,altdata_bnmeanrank_hmm,2013-04-01,RS-CVaR,0.04216490982431109,3
0.02,altdata_bnmeanrank_hmm,2013-04-01,RSDR-CVaR,0.023756222222222213,3
0.02,altdata_bnmeanrank_hmm,2013-05-01,SAA-CVaR,-0.015941603546394453,3
0.02,altdata_bnmeanrank_hmm,2013-05-01,DR-CVaR,0.0097904621943632,3
0.02,altdata_bnmeanrank_hmm,2013-05-01,RS-CVaR,-0.04979000973946268,3
0.02,altdata_bnmeanrank_hmm,2013-05-01,RSDR-CVaR,0.012610111111111107,3
0.02,altdata_bnmeanrank_hmm,2013-06-01,SAA-CVaR,-0.0028804697093547885,3
0.02,altdata_bnmeanrank_hmm,2013-06-01,DR-CVaR,-0.010296069378940363,3
0.02,altdata_bnmeanrank_hmm,2013-06-01,RS-CVaR,-0.00044578923778427516,3
0.02,altdata_bnmeanrank_hmm,2013-06-01,RSDR-CVaR,-0.012342625000000001,3
0.02,altdata_bnmeanrank_hmm,2013-07-01,SAA-CVaR,0.05305435242986485,3
0.02,altdata_bnmeanrank_hmm,2013-07-01,DR-CVaR,0.051672029972760214,3
0.02,altdata_bnmeanrank_hmm,2013-07-01,RS-CVaR,0.05024413731815948,3
0.02,altdata_bnmeanrank_hmm,2013-07-01,RSDR-CVaR,0.051940888888888884,3
0.02,altdata_bnmeanrank_hmm,2013-08-01,SAA-CVaR,-0.04242040861295411,3
0.02,altdata_bnmeanrank_hmm,2013-08-01,DR-CVaR,-0.0292409499853225,3
0.02,altdata_bnmeanrank_hmm,2013-08-01,RS-CVaR,-0.04010441454286377,3
0.02,altdata_bnmeanrank_hmm,2013-08-01,RSDR-CVaR,-0.027763167835253906,3
0.02,altdata_bnmeanrank_hmm,2013-09-01,SAA-CVaR,0.019947929860055225,3
0.02,altdata_bnmeanrank_hmm,2013-09-01,DR-CVaR,0.03146108535020346,3
0.02,altdata_bnmeanrank_hmm,2013-09-01,RS-CVaR,0.017353428549164586,3
0.02,altdata_bnmeanrank_hmm,2013-09-01,RSDR-CVaR,0.032332097957140454,3
0.02,altdata_bnmeanrank_hmm,2013-10-01,SAA-CVaR,0.0540014974815208,3
0.02,altdata_bnmeanrank_hmm,2013-10-01,DR-CVaR,0.04651238590538737,3
0.02,altdata_bnmeanrank_hmm,2013-10-01,RS-CVaR,0.051256094562460275,3
0.02,altdata_bnmeanrank_hmm,2013-10-01,RSDR-CVaR,0.0457022320488205,3
0.02,altdata_bnmeanrank_hmm,2013-11-01,SAA-CVaR,0.022779043051708605,3
0.02,altdata_bnmeanrank_hmm,2013-11-01,DR-CVaR,0.022495487323153065,3
0.02,altdata_bnmeanrank_hmm,2013-11-01,RS-CVaR,0.010354935130395548,3
0.02,altdata_bnmeanrank_hmm,2013-11-01,RSDR-CVaR,0.022446821622760942,3
0.02,altdata_bnmeanrank_hmm,2013-12-01,SAA-CVaR,0.007206490958118974,3
0.02,altdata_bnmeanrank_hmm,2013-12-01,DR-CVaR,0.022976312066246236,3
0.02,altdata_bnmeanrank_hmm,2013-12-01,RS-CVaR,0.011405713111094597,3
0.02,altdata_bnmeanrank_hmm,2013-12-01,RSDR-CVaR,0.02496571409517097,3
0.02,altdata_bnmeanrank_hmm,2014-01-01,SAA-CVaR,-0.02204182266220558,3
0.02,altdata_bnmeanrank_hmm,2014-01-01,DR-CVaR,-0.0299801841762212,3
