gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.06,altdata_bnmeanrank_hmm,2016-09-01,DR-CVaR,True,0.17642534395049622,0.07577530000000002,0.03717347197524814,0.10000000000000002,0.07434694395049622,0.10000000000000028,10.0,3,0.9982923990909717,0.9862403163728235,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.09999999999999981,0.09999999999999996,0.10000000000000006,0.10000000000000003,0.10000000000000003,0.09999999999999973,0.10000000000000002,0.10000000000000028,0.10000000000000002,0.10000000000000002
0.06,altdata_bnmeanrank_hmm,2016-09-01,RS-CVaR,True,0.0453745042365356,0.027992934986332874,0.0,1.0,0.0,0.5747241972479025,2.527871442098788,3,0.9982923990909717,0.9862403163728235,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.16660512828579188,0.5747241972479025,0.17444246986038747,0.08422820460591818,0.0
0.06,altdata_bnmeanrank_hmm,2016-09-01,RSDR-CVaR,True,0.1400453460304277,0.0508449,0.03865697996165309,0.1,0.07731395992330613,0.1,9.999999999999996,3,0.9982923990909717,0.9862403163728235,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2016-10-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,3,0.9984811178642448,0.9865563773617548,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.06,altdata_bnmeanrank_hmm,2016-10-01,DR-CVaR,True,0.1764253439504962,0.07577529999999999,0.03717347197524814,0.1,0.07434694395049621,0.10000000000000003,10.0,3,0.9984811178642448,0.9865563773617548,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.10000000000000003,0.09999999999999992,0.09999999999999998,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2016-10-01,RS-CVaR,True,0.04514829086452763,0.027992934986332874,0.0,1.0,0.0,0.5747241972479025,2.527871442098788,3,0.9984811178642448,0.9865563773617548,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.16660512828579188,0.5747241972479025,0.17444246986038747,0.08422820460591818,0.0
0.06,altdata_bnmeanrank_hmm,2016-10-01,RSDR-CVaR,True,0.13978101050709424,0.050844900000000005,0.03860934310966283,0.1,0.0772186862193256,0.1,9.999999999999996,3,0.9984811178642448,0.9865563773617548,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.1,0.09999999999999999,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2016-11-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,3,0.9977902486942809,0.9860945289742139,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.06,altdata_bnmeanrank_hmm,2016-11-01,DR-CVaR,True,0.1764253439504962,0.07577529999999999,0.03717347197524814,0.1,0.07434694395049621,0.10000000000000003,10.0,3,0.9977902486942809,0.9860945289742139,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.10000000000000003,0.09999999999999992,0.09999999999999998,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2016-11-01,RS-CVaR,True,0.0450502036911091,0.027574938371863422,0.0,1.0,0.0,0.568547333722464,2.5736561330527303,3,0.9977902486942809,0.9860945289742139,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.16328750984897797,0.568547333722464,0.17073731211000048,0.0974278443185575,0.0
